NPI,Entity Type Code,Replacement NPI,Provider Organization Name (Legal Business Name),Provider Last Name (Legal Name),Provider First Name,Provider Middle Name,Provider Name Prefix Text,Provider Name Suffix Text,Provider Credential Text,Provider First Line Business Mailing Address,Provider Business Mailing Address City Name,Provider Business Mailing Address State Name,Provider Business Mailing Address Postal Code,Provider First Line Business Practice Location Address,Provider Second Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number,Authorized Official Last Name,Authorized Official First Name,Authorized Official Title or Position,Authorized Official Telephone Number,Provider Enumeration Date,Last Update Date,NPI Deactivation Date,NPI Reactivation Date,Is Sole Proprietor,Healthcare Provider Taxonomy Code_1,Provider License Number_1,Provider License Number State Code_1,Healthcare Provider Primary Taxonomy Switch_1,Healthcare Provider Taxonomy Code_2,Provider License Number_2,Provider License Number State Code_2,Healthcare Provider Primary Taxonomy Switch_2
1000000079,2,,ASCENSION CARDIOLOGY GROUP,,,,,,,8879 MAIN ST,DALLAS,TX,752010000,8879 MAIN ST,,DALLAS,TX,752010000,,PATEL,DAVID,CEO,,2008-05-23,2026-01-10,,,,282NC0060X,,,Y,,,,
1000000145,2,,BAYLOR CARDIOLOGY GROUP,,,,,,,9074 MAIN ST,CHICAGO,IL,606110000,9074 MAIN ST,,CHICAGO,IL,606110000,,GARCIA,RAJ,CEO,,2008-05-23,2026-01-10,,,,282N00000X,,,Y,,,,
1000000210,2,,ASCENSION HEALTH SYSTEM,,,,,,,9364 MAIN ST,DALLAS,TX,752010000,9364 MAIN ST,,DALLAS,TX,752010000,,GARCIA,JAMES,CEO,,2008-05-23,2026-01-10,,,,282N00000X,,,Y,,,,
1000000285,2,,MERCY CARDIOLOGY GROUP,,,,,,,9651 MAIN ST,HOUSTON,TX,770300000,9651 MAIN ST,,HOUSTON,TX,770300000,,WILLIAMS,MARY,CEO,,2008-05-23,2026-01-10,,,,261QP2300X,,,Y,,,,
1000000350,2,,BAYLOR INTERNAL MEDICINE ASSOCIATES,,,,,,,9074 MAIN ST,CHICAGO,IL,606110000,9074 MAIN ST,,CHICAGO,IL,606110000,,SMITH,MARY,CEO,,2008-05-23,2026-01-10,,,,282NC0060X,,,Y,,,,
1000000426,2,,PRESBYTERIAN INTERNAL MEDICINE ASSOCIATES,,,,,,,7105 FANNIN ST,PHOENIX,AZ,850040000,7105 FANNIN ST,,PHOENIX,AZ,850040000,,JOHNSON,SARAH,CEO,,2008-05-23,2026-01-10,,,,314000000X,,,Y,,,,
1000000491,2,,BAYLOR HEALTH SYSTEM,,,,,,,3474 HURON ST,DENVER,CO,802020000,3474 HURON ST,,DENVER,CO,802020000,,WILLIAMS,ANA,CEO,,2008-05-23,2026-01-10,,,,314000000X,,,Y,,,,
1000000566,2,,PRESBYTERIAN INTERNAL MEDICINE ASSOCIATES,,,,,,,9458 GASTON ST,DALLAS,TX,752010000,9458 GASTON ST,,DALLAS,TX,752010000,,JOHNSON,JAMES,CEO,,2008-05-23,2026-01-10,,,,261QP2300X,,,Y,,,,
1000000632,2,,ASCENSION FAMILY MEDICINE,,,,,,,9364 MAIN ST,DALLAS,TX,752010000,9364 MAIN ST,,DALLAS,TX,752010000,,WILLIAMS,MARY,CEO,,2008-05-23,2026-01-10,,,,261QP2300X,,,Y,,,,
1000000707,2,,METHODIST INTERNAL MEDICINE ASSOCIATES,,,,,,,6568 MAIN ST,CHICAGO,IL,606110000,6568 MAIN ST,,CHICAGO,IL,606110000,,PATEL,RAJ,CEO,,2008-05-23,2026-01-10,,,,261QP2300X,,,Y,,,,
1000000772,2,,METHODIST FAMILY MEDICINE,,,,,,,6568 MAIN ST,CHICAGO,IL,606110000,6568 MAIN ST,,CHICAGO,IL,606110000,,NGUYEN,RAJ,CEO,,2008-05-23,2026-01-10,,,,282NC0060X,,,Y,,,,
1000000848,2,,BAYLOR HEALTH SYSTEM,,,,,,,2034 HURON ST,DENVER,CO,802020000,2034 HURON ST,,DENVER,CO,802020000,,JOHNSON,DAVID,CEO,,2008-05-23,2026-01-10,,,,314000000X,,,Y,,,,
1000000913,2,,METHODIST HEALTH SYSTEM,,,,,,,3045 GASTON ST,CHICAGO,IL,606110000,3045 GASTON ST,,CHICAGO,IL,606110000,,GARCIA,SARAH,CEO,,2008-05-23,2026-01-10,,,,282N00000X,,,Y,,,,
1000000988,2,,ASCENSION HEALTH SYSTEM,,,,,,,7574 MAIN ST,DENVER,CO,802020000,7574 MAIN ST,,DENVER,CO,802020000,,GARCIA,ANA,CEO,,2008-05-23,2026-01-10,,,,282NC0060X,,,Y,,,,
1000001051,2,,BAYLOR MEDICAL CENTER,,,,,,,9074 MAIN ST,CHICAGO,IL,606110000,9074 MAIN ST,,CHICAGO,IL,606110000,,WILLIAMS,ANA,CEO,,2008-05-23,2026-01-10,,,,282NC0060X,,,Y,,,,
1000001127,2,,ASCENSION FAMILY MEDICINE,,,,,,,8879 MAIN ST,DALLAS,TX,752010000,8879 MAIN ST,,DALLAS,TX,752010000,,JOHNSON,ANA,CEO,,2008-05-23,2026-01-10,,,,282N00000X,,,Y,,,,
1000001192,2,,ASCENSION MEDICAL CENTER,,,,,,,9364 MAIN ST,DALLAS,TX,752010000,9364 MAIN ST,,DALLAS,TX,752010000,,NGUYEN,JAMES,CEO,,2008-05-23,2026-01-10,,,,314000000X,,,Y,,,,
1000001267,2,,BAYLOR MEDICAL CENTER,,,,,,,7204 HURON ST,DALLAS,TX,752010000,7204 HURON ST,,DALLAS,TX,752010000,,NGUYEN,JAMES,CEO,,2008-05-23,2026-01-10,,,,261QP2300X,,,Y,,,,
1000001333,2,,PRESBYTERIAN HEALTH SYSTEM,,,,,,,9458 GASTON ST,DALLAS,TX,752010000,9458 GASTON ST,,DALLAS,TX,752010000,,SMITH,SARAH,CEO,,2008-05-23,2026-01-10,,,,282N00000X,,,Y,,,,
1000001408,2,,MERCY HEALTH SYSTEM,,,,,,,9651 MAIN ST,HOUSTON,TX,770300000,9651 MAIN ST,,HOUSTON,TX,770300000,,JOHNSON,DAVID,CEO,,2008-05-23,2026-01-10,,,,282NC0060X,,,Y,,,,
1000001473,2,,BAYLOR CARDIOLOGY GROUP,,,,,,,9220 GASTON ST,HOUSTON,TX,770300000,9220 GASTON ST,,HOUSTON,TX,770300000,,GARCIA,JAMES,CEO,,2008-05-23,2026-01-10,,,,314000000X,,,Y,,,,
1000001549,2,,BAYLOR INTERNAL MEDICINE ASSOCIATES,,,,,,,7204 HURON ST,DALLAS,TX,752010000,7204 HURON ST,,DALLAS,TX,752010000,,GARCIA,ANA,CEO,,2008-05-23,2026-01-10,,,,282NC0060X,,,Y,,,,
1000001614,2,,LANGONE MEDICAL CENTER,,,,,,,2463 MAIN ST,CHICAGO,IL,606110000,2463 MAIN ST,,CHICAGO,IL,606110000,,SMITH,DAVID,CEO,,2008-05-23,2026-01-10,,,,261QP2300X,,,Y,,,,
1000001689,2,,NORTHWESTERN CARDIOLOGY GROUP,,,,,,,9279 GASTON ST,DENVER,CO,802020000,9279 GASTON ST,,DENVER,CO,802020000,,BROWN,DAVID,CEO,,2008-05-23,2026-01-10,,,,282NC0060X,,,Y,,,,
1000001754,2,,ASCENSION HEALTH SYSTEM,,,,,,,9364 MAIN ST,DALLAS,TX,752010000,9364 MAIN ST,,DALLAS,TX,752010000,,JOHNSON,LINH,CEO,,2008-05-23,2026-01-10,,,,282N00000X,,,Y,,,,
1000001820,2,,PRESBYTERIAN FAMILY MEDICINE,,,,,,,9458 GASTON ST,DALLAS,TX,752010000,9458 GASTON ST,,DALLAS,TX,752010000,,BROWN,LINH,CEO,,2008-05-23,2026-01-10,,,,282N00000X,,,Y,,,,
1000001895,2,,LANGONE MEDICAL CENTER,,,,,,,2463 MAIN ST,CHICAGO,IL,606110000,2463 MAIN ST,,CHICAGO,IL,606110000,,NGUYEN,RAJ,CEO,,2008-05-23,2026-01-10,,,,314000000X,,,Y,,,,
1000001960,2,,ASCENSION CARDIOLOGY GROUP,,,,,,,9364 MAIN ST,DALLAS,TX,752010000,9364 MAIN ST,,DALLAS,TX,752010000,,NGUYEN,LINH,CEO,,2008-05-23,2026-01-10,,,,261QP2300X,,,Y,,,,
