NPI,Entity Type Code,Replacement NPI,Provider Organization Name (Legal Business Name),Provider Last Name (Legal Name),Provider First Name,Provider Middle Name,Provider Name Prefix Text,Provider Name Suffix Text,Provider Credential Text,Provider First Line Business Mailing Address,Provider Business Mailing Address City Name,Provider Business Mailing Address State Name,Provider Business Mailing Address Postal Code,Provider First Line Business Practice Location Address,Provider Second Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number,Authorized Official Last Name,Authorized Official First Name,Authorized Official Title or Position,Authorized Official Telephone Number,Provider Enumeration Date,Last Update Date,NPI Deactivation Date,NPI Reactivation Date,Is Sole Proprietor,Healthcare Provider Taxonomy Code_1,Provider License Number_1,Provider License Number State Code_1,Healthcare Provider Primary Taxonomy Switch_1,Healthcare Provider Taxonomy Code_2,Provider License Number_2,Provider License Number State Code_2,Healthcare Provider Primary Taxonomy Switch_2
1000056915,2,,PRESBYTERIAN NEW CARDIOLOGY GROUP,,,,,,,,,,,9458 GASTON ST,,DALLAS,TX,752010000,,WILLIAMS,,CEO,,2026-02-01,2026-02-07,,,,282N00000X,,,Y,,,,
1000056980,2,,PRESBYTERIAN NEW HEALTH SYSTEM,,,,,,,,,,,9458 GASTON ST,,DALLAS,TX,752010000,,SMITH,,CEO,,2026-02-01,2026-02-07,,,,282N00000X,,,Y,,,,
1000057053,2,,BAYLOR NEW HEALTH SYSTEM,,,,,,,,,,,2034 HURON ST,,DENVER,CO,802020000,,BROWN,,CEO,,2026-02-01,2026-02-07,,,,282N00000X,,,Y,,,,
1000057129,2,,METHODIST NEW MEDICAL CENTER,,,,,,,,,,,3045 GASTON ST,,CHICAGO,IL,606110000,,GARCIA,,CEO,,2026-02-01,2026-02-07,,,,282N00000X,,,Y,,,,
1000057194,2,,PRESBYTERIAN NEW INTERNAL MEDICINE ASSOCIATES,,,,,,,,,,,7105 FANNIN ST,,PHOENIX,AZ,850040000,,SMITH,,CEO,,2026-02-01,2026-02-07,,,,282N00000X,,,Y,,,,
1000057269,2,,LANGONE NEW FAMILY MEDICINE,,,,,,,,,,,742 MAIN ST,,NEW YORK,NY,100160000,,JOHNSON,,CEO,,2026-02-01,2026-02-07,,,,282N00000X,,,Y,,,,
1000057335,2,,MERCY NEW CARDIOLOGY GROUP,,,,,,,,,,,9651 MAIN ST,,HOUSTON,TX,770300000,,NGUYEN,,CEO,,2026-02-01,2026-02-07,,,,282N00000X,,,Y,,,,
1000057400,2,,PRESBYTERIAN NEW MEDICAL CENTER,,,,,,,,,,,9458 GASTON ST,,DALLAS,TX,752010000,,WILLIAMS,,CEO,,2026-02-01,2026-02-07,,,,282N00000X,,,Y,,,,
1000000079,2,,ASCENSION CARDIOLOGY GROUP (RENAMED),,,,,,,8879 MAIN ST,DALLAS,TX,752010000,8879 MAIN ST,,DALLAS,TX,752010000,,PATEL,DAVID,CEO,,2008-05-23,2026-02-08,,,,282NC0060X,,,Y,,,,
1000005672,1,,,SMITH,JAMES,,,,NP,5704 GASTON ST,HOUSTON,TX,770301234,5704 GASTON ST,,HOUSTON,TX,770301234,,,,,,2010-09-01,2026-02-08,2026-02-05,,Y,207Q00000X,TX69477,TX,Y,,,,
