NPI,Provider Other Organization Name,Provider Other Organization Name Type Code
1000000079,ASCENSION CARDIOLOGY GROUP DBA,3
1000000145,BAYLOR CARDIOLOGY GROUP DBA,3
1000000210,ASCENSION HEALTH SYSTEM DBA,3
1000000285,MERCY CARDIOLOGY GROUP DBA,3
1000000350,BAYLOR INTERNAL MEDICINE ASSOCIATES DBA,3
1000000426,PRESBYTERIAN INTERNAL MEDICINE ASSOCIATES DBA,3
1000000491,BAYLOR HEALTH SYSTEM DBA,3
1000000566,PRESBYTERIAN INTERNAL MEDICINE ASSOCIATES DBA,3
1000000632,ASCENSION FAMILY MEDICINE DBA,3
1000000707,METHODIST INTERNAL MEDICINE ASSOCIATES DBA,3
1000000772,METHODIST FAMILY MEDICINE DBA,3
1000000848,BAYLOR HEALTH SYSTEM DBA,3
1000000913,METHODIST HEALTH SYSTEM DBA,3
1000000988,ASCENSION HEALTH SYSTEM DBA,3
1000001051,BAYLOR MEDICAL CENTER DBA,3
1000001127,ASCENSION FAMILY MEDICINE DBA,3
1000001192,ASCENSION MEDICAL CENTER DBA,3
1000001267,BAYLOR MEDICAL CENTER DBA,3
1000001333,PRESBYTERIAN HEALTH SYSTEM DBA,3
1000001408,MERCY HEALTH SYSTEM DBA,3
1000001473,BAYLOR CARDIOLOGY GROUP DBA,3
1000001549,BAYLOR INTERNAL MEDICINE ASSOCIATES DBA,3
1000001614,LANGONE MEDICAL CENTER DBA,3
1000001689,NORTHWESTERN CARDIOLOGY GROUP DBA,3
1000001754,ASCENSION HEALTH SYSTEM DBA,3
1000001820,PRESBYTERIAN FAMILY MEDICINE DBA,3
1000001895,LANGONE MEDICAL CENTER DBA,3
1000001960,ASCENSION CARDIOLOGY GROUP DBA,3
1000002034,ASCENSION HEALTH SYSTEM DBA,3
1000002109,BAYLOR FAMILY MEDICINE DBA,3
