variable_id,geo_level,geo_name,fips,state,county,year,value,unit,percentile_national,percentile_state,source_file,source_note
age_65_plus_pct,state,Alabama,01,,,2025,0.178838,pct,51.9,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Alaska,02,,,2025,0.142496,pct,7.7,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Arizona,04,,,2025,0.191554,pct,75.0,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Arkansas,05,,,2025,0.176026,pct,50.0,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,California,06,,,2025,0.158873,pct,13.5,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Colorado,08,,,2025,0.157971,pct,11.5,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Connecticut,09,,,2025,0.194295,pct,78.8,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Delaware,10,,,2025,0.207818,pct,88.5,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,District of Columbia,11,,,2025,0.131183,pct,3.8,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Florida,12,,,2025,0.215309,pct,94.2,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Georgia,13,,,2025,0.150817,pct,9.6,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Hawaii,15,,,2025,0.208285,pct,90.4,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Idaho,16,,,2025,0.170458,pct,30.8,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Illinois,17,,,2025,0.1717,pct,38.5,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Indiana,18,,,2025,0.168635,pct,26.9,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Iowa,19,,,2025,0.183012,pct,61.5,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Kansas,20,,,2025,0.170506,pct,32.7,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Kentucky,21,,,2025,0.17462,pct,46.2,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Louisiana,22,,,2025,0.169306,pct,28.8,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Maine,23,,,2025,0.226868,pct,98.1,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Maryland,24,,,2025,0.168318,pct,23.1,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Massachusetts,25,,,2025,0.180735,pct,57.7,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Michigan,26,,,2025,0.187843,pct,67.3,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Minnesota,27,,,2025,0.174816,pct,48.1,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Mississippi,28,,,2025,0.173643,pct,44.2,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Missouri,29,,,2025,0.179004,pct,53.8,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
age_65_plus_pct,state,Montana,30,,,2025,0.20324,pct,84.6,,New Project_Ranking_2026-05-25_09-59-04.xlsx,"LICENSED MARKET DATA DERIVED (SimplyAnalytics); internal use, with provenance."
