npi,org_name,state,air,group,linked_by
1205839230,"MERCY EMS, LLC",TX,0,Independent (unaffiliated),name/type
1144223199,MAJOR COUNTY EMERGENCY MEDICAL SERVICE,OK,0,Municipal / fire / government,name/type
1336142371,CITY OF MEDFORD,OK,0,Municipal / fire / government,name/type
1326041534,MURFREESBORO CONVALESCENT SERVICE,TN,0,Independent (unaffiliated),name/type
1679576862,ALGONQUIN FIRE PROTECTION DISTRICT,IL,0,Municipal / fire / government,name/type
1285637470,TOWN OF BILLINGS,OK,0,Municipal / fire / government,name/type
1700889987,COUNTY OF ADA,ID,0,Municipal / fire / government,name/type
1134122146,COUNTY OF PASCO OFFICE CLERK BOARD OF COUNTY COMMISSIONERS,FL,0,Municipal / fire / government,name/type
1588667760,CHEROKEE NATION,OK,0,Independent (unaffiliated),name/type
1104829365,COMMUNITY AMBULANCE SERVICE,OK,0,Independent (unaffiliated),name/type
1629071758,BRIGHTON COMMUNITY HOSPITAL ASSOCIATION,CO,0,Hospital / health-system,name/type
1467455485,"AMERICAN AMBULANCE SERVICE, INC.",FL,0,Independent (unaffiliated),name/type
1679576680,"BURHOLME FIRST AID CORPS, INC.",PA,0,Independent (unaffiliated),name/type
1750384764,CITY OF PERRY,OK,0,Municipal / fire / government,name/type
1467455691,"LIFE EMERGENCY MEDICAL SERVICE, INC.",OK,0,Independent (unaffiliated),name/type
1134122344,CITY OF ALVA,OK,0,Municipal / fire / government,name/type
1376546556,TOWN OF CASHION,OK,0,Municipal / fire / government,name/type
1053314294,VANCE FAMILY LLP,TX,0,Independent (unaffiliated),name/type
1104829290,LAVERNE AMBULANCE SERVICE,OK,0,Independent (unaffiliated),name/type
1730182908,CITY OF COALGATE,OK,0,Municipal / fire / government,name/type
1528061728,CITY OF BLACKWELL,OK,0,Municipal / fire / government,name/type
1144223330,DARE COUNTY ADMINISTRATIVE OFFICES,NC,1,Air-medical (independent/other),name/type
1306849567,VILLAGE OF ARLINGTON HEIGHTS A,IL,0,Municipal / fire / government,name/type
1619970860,TOWN OF ST. JOHN,IN,0,Municipal / fire / government,name/type
1700889839,GARBER EMERGENCY MEDICAL SERVICE (GEMS),OK,0,Independent (unaffiliated),name/type
1982607016,CITY OF PENDLETON,OR,0,Municipal / fire / government,name/type
1154324283,DREXEL HEIGHTS FIRE DISTRICT,AZ,0,Municipal / fire / government,name/type
1609879840,HUGHES COUNTY EMERGENCY MEDICAL SERVICES,OK,0,Municipal / fire / government,name/type
1073516118,LIVINGSTON COUNTY TREASURER,MI,0,Municipal / fire / government,name/type
1063415107,YORKTOWN EMERGENCY MEDICAL SERVICE,TX,0,Independent (unaffiliated),name/type
1215930359,CITY OF KINGFISHER,OK,0,Municipal / fire / government,name/type
1124021266,ALVERNO LAKESIDE CORPORATION,IL,0,Independent (unaffiliated),name/type
1942203070,ELLIS COUNTY EMS,OK,0,Municipal / fire / government,name/type
1609879717,TOWN OF KEYES OKLAHOMA,OK,0,Municipal / fire / government,name/type
1063415172,CITY OF EMPORIA,KS,0,Municipal / fire / government,name/type
1003819103,LANCASTER EMERGENCY MEDICAL SERVICES ASSOCIATION,PA,0,Independent (unaffiliated),name/type
1588667653,CLAIBORNE AMBULANCE INC,LA,0,Independent (unaffiliated),name/type
1689677551,TC HUDSON VALLEY AMBULANCE CORP.,NY,0,Independent (unaffiliated),name/type
1124021092,JACKSON PARISH AMBULANCE SERVICE DISTRICT,LA,0,Municipal / fire / government,name/type
1881697654,NORTH COUNTRY EMERGENCY MEDICAL SERVICES,WA,0,Independent (unaffiliated),name/type
1164425922,"TRANSCARE MARYLAND, INC.",MD,0,Independent (unaffiliated),name/type
1760485411,STARFIRE EMS INC,TX,0,Independent (unaffiliated),name/type
1841293768,COUNTY OF LINCOLN,WI,0,Municipal / fire / government,name/type
1063415974,CITY OF LA PORTE,TX,0,Municipal / fire / government,name/type
1518960426,ESCAMBIA CO BOARD OF COUNTY COMMISS,FL,0,Municipal / fire / government,name/type
1215930193,"TRANSCARE NEW YORK, INC.",NY,0,Independent (unaffiliated),name/type
1861495624,CITY OF CLAUDE,TX,0,Municipal / fire / government,name/type
1538162383,"THREE RIVERS AMBULANCE SERVICE, INC",TX,0,Independent (unaffiliated),name/type
1053314807,"TRANSCARE ML, INC.",PA,0,Independent (unaffiliated),name/type
1598768335,JACKSON COUNTY EMERGENCY MEDICAL SERVICE DISTRICT,OK,0,Municipal / fire / government,name/type
1679576417,"TRANSCARE ML, INC.",PA,0,Independent (unaffiliated),name/type
1760485684,COUNTY OF KIT CARSON,CO,0,Municipal / fire / government,name/type
1477556348,TC AMBULANCE CORPORATION,NY,0,Independent (unaffiliated),name/type
1891798864,CITY OF RIPON,WI,0,Municipal / fire / government,name/type
1043213010,SOUTHWEST OKLAHOMA AMBULANCE AUTHORITY,OK,0,Municipal / fire / government,name/type
1932102845,"CENTRAL FLORIDA AMBULANCE, INC.",FL,0,Independent (unaffiliated),name/type
1437152212,"NEWMANS MEDICAL SERVICES, INC",AL,0,Independent (unaffiliated),name/type
1821091893,DONALD MARTENS & SONS AMBULANCE SERVICE INC.,OH,0,Independent (unaffiliated),name/type
1679576433,CITY OF OROVILLE,WA,0,Municipal / fire / government,name/type
1497758254,"TRANSCARE PENNSYLVANIA, INC.",PA,0,Independent (unaffiliated),name/type
1285637058,CITY OF EXCELSIOR SPRINGS,MO,0,Municipal / fire / government,name/type
1639172596,ALLIED AMBULANCE SERVICE INC,MA,0,Independent (unaffiliated),name/type
1699778530,WARREN COUNTY BOARD OF COMMISSIONERS,GA,0,Municipal / fire / government,name/type
1881697746,TOWN OF OXFORD,MA,0,Municipal / fire / government,name/type
1427051382,MAR MAC TRANSPORTATION SERVICES INC,VA,0,Independent (unaffiliated),name/type
1952304818,AMERICAN AMBULANCE SERVICE (DADE COUNTY),FL,0,Municipal / fire / government,name/type
1851394712,SALINE COUNTY AMBULANCE DISTRICT NO 3,MO,0,Municipal / fire / government,name/type
1043213002,CITY OF WAYNOKA,OK,0,Municipal / fire / government,name/type
1548263478,MISSISSIPPI COUNTY AMBULANCE DISTRICT,MO,0,Municipal / fire / government,name/type
1568465490,COUNTY OF RICHLAND,WI,0,Municipal / fire / government,name/type
1992708804,COUNTY OF LOGAN,AR,0,Municipal / fire / government,name/type
1730182627,TOWNSHIP OF MONROE,NJ,0,Municipal / fire / government,name/type
1033112776,LEEDEY AMBULANCE SERVICE,OK,0,Independent (unaffiliated),name/type
1073516548,CITY OF LONGVIEW,TX,0,Municipal / fire / government,name/type
1033112594,CITY OF SALEM,OR,0,Municipal / fire / government,name/type
1710980347,BRACKEN COUNTY AMBULANCE DISTRICT,KY,0,Municipal / fire / government,name/type
1033112669,CITY OF LA PORTE CITY,IA,0,Municipal / fire / government,name/type
1023011657,SWEENY HOSPITAL DISTRICT,TX,0,Municipal / fire / government,name/type
1255334819,GUARDIAN MEDICAL TRANSPORT INC,MD,0,Independent (unaffiliated),name/type
1225031891,MTN. VIEW-GOTEBO AMBULANCE SERVICE,OK,0,Independent (unaffiliated),name/type
1801899471,"HALO FLIGHT, INC",TX,1,Air-medical (independent/other),name/type
1043213606,CITY OF SCHERTZ,TX,0,Municipal / fire / government,name/type
1114920774,LIFELINE AMBULANCE SERVICE INC,NY,0,Independent (unaffiliated),name/type
1790788305,BASALT & RURAL FIRE PROTECTION DISTRICT,CO,0,Municipal / fire / government,name/type
1093718611,ESSEX AMBULANCE ASSOCIATION INCORPORATED,CT,0,Independent (unaffiliated),name/type
1063415685,LAPEL STONY CREEK TOWNSHIP AMBULANCE SERVICE,IN,0,Municipal / fire / government,name/type
1144223710,MIDWOOD AMBULANCE & OXYGEN SERVICE INC,NY,0,Independent (unaffiliated),name/type
1891798450,CITY OF POND CREEK,OK,0,Municipal / fire / government,name/type
1225031958,"TRANSCARE ML, INC.",PA,0,Independent (unaffiliated),name/type
1649273376,WISE COUNTY EMERGENCY MEDICAL SERVICES,TX,0,Municipal / fire / government,name/type
1316940026,SANTA FE COUNTY,NM,0,Municipal / fire / government,name/type
1487657177,CITY OF MARSHALL,OK,0,Municipal / fire / government,name/type
1679576169,COUNTY OF PUTNAM,TN,0,Municipal / fire / government,name/type
1386647857,CITY OF SONOMA,CA,0,Municipal / fire / government,name/type
1821091471,"CAVALRY MEDICAL TRANSPORT,INC",NC,0,Independent (unaffiliated),name/type
1821091364,HANOVER FIRE COMPANY 1,PA,0,Municipal / fire / government,name/type
1144223660,PICTURE ROCKS FIRE DISTRICT,AZ,0,Municipal / fire / government,name/type
1598768012,LAKE MILLS AMBULANCE SERVICE,IA,0,Independent (unaffiliated),name/type
1235132689,CITY OF DALLAS,OR,0,Municipal / fire / government,name/type
1194728402,CITY OF GRAND PRAIRIE,TX,0,Municipal / fire / government,name/type
1861495178,ANGELS AMBULANCE INC.,MA,0,Independent (unaffiliated),name/type
1376546788,CHARLESTON COUNTY GOVERNMENT,SC,0,Municipal / fire / government,name/type
1467455741,COUNTY OF CHEYENNE,KS,0,Municipal / fire / government,name/type
1558364950,CONCORDVILLE FIRE AND PROTECTIVE ASSOCIATION,PA,0,Municipal / fire / government,name/type
1922001254,REV NOEL T ADAMS MEM AMBULANCE DISTRICT,MO,0,Municipal / fire / government,name/type
1215930680,TOWN OF NEWPORT,NH,0,Municipal / fire / government,name/type
1134122591,VICI - CAMARGO EMS,OK,0,Independent (unaffiliated),name/type
