payer,variable,mean,p10,p90
ALL,appeal_cost_L1,22.065,13.273,32.994
ALL,appeal_cost_L2,84.818,47.545,129.5
ALL,appeal_cost_L3,659.189,377.914,992.284
ALL,appeal_days_L1,15.912,9.251,23.817
ALL,appeal_days_L2,40.09,26.199,55.801
ALL,appeal_days_L3,139.612,93.711,192.167
Commercial,dar_clean_days,32.038,25.655,38.309
Commercial,final_writeoff_rate,0.14,0.091,0.192
Commercial,initial_denial_rate,0.14,0.103,0.178
Commercial,underpay_recovery_rate,0.659,0.511,0.798
Commercial,underpay_severity,0.139,0.069,0.222
Commercial,underpayment_rate,0.045,0.029,0.064
Medicaid,dar_clean_days,45.036,37.345,52.672
Medicaid,final_writeoff_rate,0.219,0.144,0.301
Medicaid,initial_denial_rate,0.16,0.123,0.198
Medicaid,underpay_recovery_rate,0.619,0.46,0.77
Medicaid,underpay_severity,0.121,0.06,0.188
Medicaid,underpayment_rate,0.028,0.015,0.043
Medicare,dar_clean_days,37.901,31.425,44.244
Medicare,final_writeoff_rate,0.18,0.117,0.249
Medicare,initial_denial_rate,0.12,0.089,0.153
Medicare,underpay_recovery_rate,0.7,0.566,0.826
Medicare,underpay_severity,0.1,0.053,0.155
Medicare,underpayment_rate,0.022,0.012,0.034
SelfPay,dar_clean_days,64.84,49.642,80.182
