payer,denial_type,mean_denial_writeoff,mean_denial_rework_cost,mean_denial_cases,root_cause
Commercial,auth_admin,2804236.0612591296,381770.4711654012,3412.7794,authorization
Commercial,coding,1458686.4485676389,221755.8501745212,1951.6734,coding
Commercial,clinical,1034306.1498318188,185190.82596736494,1299.171,medical_necessity
Commercial,other,587869.2177371354,91740.5741961637,806.8854,other
Commercial,eligibility,545263.2741936943,73784.07591922392,648.405,eligibility
Medicaid,eligibility,2231766.2756091757,275679.0805389934,2602.0376,eligibility
Medicaid,coding,1276796.4453987712,184674.8215089015,1724.3582,coding
Medicaid,clinical,1234901.8916827783,215873.25813752037,1588.379,medical_necessity
Medicaid,admin,668776.1805570276,100831.0540106929,943.4212,other_admin
Medicaid,other,255840.94345502,39112.95935568445,365.1458,other
Medicare,clinical,4026066.3359348085,646150.855346989,4732.7416,medical_necessity
Medicare,coding,2834166.347985762,372662.252299138,3682.537,coding
Medicare,admin,1121395.1283273029,161995.5014446699,1592.8728,other_admin
Medicare,other,379170.82628111646,53226.66410862468,521.7984,other
