hold_years,exit_multiple,entry_ev,exit_ev,entry_equity,exit_debt,exit_equity,underwater,moic,irr,total_value_created,rcm_uplift_share
3,8.0,450000000.0,477090800.0,180000000.0,240000000.0,237090800.0,False,1.317171111111111,0.09617711828626913,27090800.0,1.6610805144181788
3,9.0,450000000.0,536727150.0,180000000.0,240000000.0,296727150.0,False,1.6484841666666668,0.18130377932944053,86727150.0,0.518868658776404
3,10.0,450000000.0,596363500.0,180000000.0,240000000.0,356363500.0,False,1.9797972222222222,0.2556643672574032,146363500.0,0.3074537025966173
3,11.0,450000000.0,655999850.0,180000000.0,240000000.0,415999850.0,False,2.311110277777778,0.32212816287751,205999850.0,0.21844676100492305
5,8.0,450000000.0,527709629.72,180000000.0,220000000.0,307709629.72,False,1.709497942888889,0.11320132992028341,77709629.72000003,0.9265260979807429
5,9.0,450000000.0,593673333.4350001,180000000.0,220000000.0,373673333.43500006,False,2.075962963527778,0.1572945828025925,143673333.43500006,0.5011368378431469
5,10.0,450000000.0,659637037.1500001,180000000.0,220000000.0,439637037.1500001,False,2.442427984166667,0.19554066692549257,209637037.1500001,0.34345076127212365
5,11.0,450000000.0,725600740.865,180000000.0,220000000.0,505600740.865,False,2.808893004805556,0.2294391520480979,275600740.865,0.26124748349377047
7,8.0,450000000.0,563949546.1699481,180000000.0,200000000.0,363949546.1699481,False,2.0219419231663784,0.10581185001601157,113949546.1699481,0.7108409179549863
7,9.0,450000000.0,634443239.4411917,180000000.0,200000000.0,434443239.4411917,False,2.413573552451065,0.13413771062013063,184443239.44119167,0.4391594956009555
7,10.0,450000000.0,704936932.7124351,180000000.0,200000000.0,504936932.7124351,False,2.805205181735751,0.15876387521758784,254936932.71243513,0.31772563958540573
7,11.0,450000000.0,775430625.9836786,180000000.0,200000000.0,575430625.9836786,False,3.1968368110204364,0.18060039425190355,325430625.9836786,0.24890097468596092
