ccn,cahps_facility_star,cahps_nephrologist_comm_star,cahps_center_care_star,cahps_information_star,cahps_nephrologist_star,cahps_staff_star,source,source_date
012500,1.0,4.0,1.0,1.0,5.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012502,2.0,3.0,1.0,2.0,5.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012505,2.0,1.0,2.0,1.0,1.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012507,2.0,2.0,2.0,3.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012513,1.0,2.0,1.0,3.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012515,2.0,2.0,1.0,3.0,2.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012517,4.0,4.0,4.0,4.0,5.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012519,5.0,3.0,5.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012520,1.0,2.0,1.0,4.0,2.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012521,5.0,5.0,4.0,5.0,5.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012522,4.0,3.0,4.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012523,2.0,3.0,1.0,3.0,4.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012524,2.0,4.0,2.0,3.0,4.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012525,4.0,4.0,4.0,3.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012526,2.0,3.0,2.0,3.0,4.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012527,5.0,5.0,5.0,5.0,5.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012529,2.0,2.0,2.0,4.0,2.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012530,4.0,3.0,4.0,3.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012531,2.0,2.0,3.0,3.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012534,2.0,3.0,1.0,2.0,4.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012547,1.0,1.0,1.0,4.0,1.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012572,3.0,4.0,3.0,4.0,5.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012579,5.0,3.0,3.0,4.0,3.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012585,2.0,1.0,3.0,1.0,1.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012595,3.0,3.0,2.0,2.0,5.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012596,1.0,1.0,1.0,1.0,1.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012598,4.0,5.0,3.0,4.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012599,1.0,2.0,2.0,2.0,2.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012604,5.0,5.0,5.0,5.0,5.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012606,1.0,4.0,2.0,2.0,5.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012610,1.0,2.0,1.0,2.0,2.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012612,1.0,4.0,1.0,3.0,4.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012615,4.0,4.0,3.0,3.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012618,4.0,2.0,2.0,1.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012624,3.0,3.0,3.0,2.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012633,2.0,2.0,2.0,2.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012636,1.0,2.0,2.0,3.0,1.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012644,2.0,1.0,1.0,4.0,2.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012645,2.0,1.0,2.0,2.0,1.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012648,2.0,2.0,2.0,2.0,2.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012654,2.0,3.0,1.0,2.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012672,4.0,3.0,3.0,3.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012681,4.0,3.0,4.0,3.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012688,4.0,5.0,4.0,3.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
012693,3.0,3.0,3.0,4.0,3.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
022500,2.0,3.0,2.0,3.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
022506,4.0,5.0,5.0,5.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
022509,4.0,3.0,2.0,3.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032315,5.0,2.0,4.0,4.0,2.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032500,2.0,3.0,2.0,3.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032501,2.0,2.0,2.0,2.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032502,1.0,1.0,1.0,3.0,2.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032503,4.0,3.0,3.0,4.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032506,2.0,1.0,1.0,1.0,1.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032509,1.0,2.0,1.0,2.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032513,3.0,1.0,1.0,2.0,2.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032516,1.0,2.0,1.0,1.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032517,2.0,2.0,2.0,1.0,2.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032520,5.0,4.0,5.0,5.0,4.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032521,3.0,3.0,3.0,4.0,5.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032524,4.0,3.0,3.0,3.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032526,3.0,3.0,3.0,2.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032528,4.0,3.0,4.0,3.0,3.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032530,4.0,4.0,3.0,3.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032533,2.0,2.0,3.0,1.0,2.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032536,2.0,1.0,1.0,2.0,1.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032537,1.0,1.0,1.0,1.0,1.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032540,3.0,3.0,4.0,4.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032541,3.0,3.0,3.0,2.0,3.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032542,4.0,3.0,3.0,2.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032543,1.0,4.0,2.0,3.0,5.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032544,4.0,2.0,3.0,4.0,3.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032545,1.0,2.0,1.0,1.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032549,2.0,3.0,3.0,4.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032550,3.0,4.0,3.0,4.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032556,3.0,1.0,3.0,4.0,2.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032558,2.0,2.0,3.0,3.0,2.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032561,4.0,3.0,4.0,3.0,3.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032564,1.0,2.0,1.0,1.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032568,2.0,2.0,3.0,2.0,4.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032571,1.0,3.0,2.0,1.0,4.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032572,5.0,3.0,5.0,4.0,5.0,5.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032578,4.0,3.0,3.0,5.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032579,2.0,3.0,3.0,3.0,5.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032583,2.0,3.0,2.0,2.0,4.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032587,1.0,4.0,2.0,2.0,4.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032589,4.0,3.0,4.0,2.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032594,3.0,4.0,3.0,3.0,5.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032596,4.0,3.0,4.0,3.0,3.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032601,4.0,3.0,4.0,3.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032604,3.0,2.0,2.0,3.0,2.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032605,4.0,3.0,4.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032607,3.0,3.0,3.0,4.0,4.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032608,3.0,4.0,4.0,4.0,4.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032609,1.0,3.0,1.0,2.0,2.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032610,2.0,3.0,3.0,5.0,3.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032611,2.0,2.0,3.0,3.0,2.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032612,2.0,2.0,1.0,1.0,2.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032613,3.0,3.0,3.0,4.0,5.0,4.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032617,2.0,2.0,1.0,2.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032619,3.0,2.0,3.0,2.0,3.0,3.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032622,3.0,3.0,2.0,2.0,4.0,2.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032624,2.0,3.0,1.0,2.0,3.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
032625,2.0,1.0,1.0,1.0,1.0,1.0,CMS Dialysis Facility — Patient Survey (ICH CAHPS),2026-03-25
