ccn,facility_name,address,city,state,zip,county,ownership,chain_owned,chain_org,dialysis_stations,offers_in_center_hd,offers_peritoneal,offers_home_hd,certification_date,source,source_date
012306,CHILDRENS HOSPITAL DIALYSIS,1600 7TH AVENUE SOUTH,BIRMINGHAM,AL,35233,Jefferson,Non-profit,No,Independent,7,Yes,Yes,Yes,1982-11-17,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012500,FMC CAPITOL CITY,255 S JACKSON STREET,MONTGOMERY,AL,36104,Montgomery,Profit,Yes,Fresenius Medical Care,28,Yes,Yes,Yes,1976-09-01,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012501,DaVita Gadsden Dialysis,409 SOUTH FIRST STREET,GADSDEN,AL,35901,Etowah,Profit,Yes,DaVita,24,Yes,No,No,1976-09-01,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012502,DaVita Tuscaloosa University Dialysis,220 15TH STREET,TUSCALOOSA,AL,35401,Tuscaloosa,Profit,Yes,DaVita,23,Yes,Yes,No,1977-10-21,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012505,DaVita PDI-Montgomery,1001 FOREST AVENUE,MONTGOMERY,AL,36106,Montgomery,Profit,Yes,DaVita,19,Yes,Yes,Yes,1977-12-14,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012506,DaVita Dothan Dialysis,216 GRACELAND DR.,DOTHAN,AL,36305,Houston,Profit,Yes,DaVita,27,Yes,Yes,Yes,1977-11-28,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012507,FMC MOBILE,2620 OLD SHELL RD,MOBILE,AL,36607,Mobile,Profit,Yes,Fresenius Medical Care,24,Yes,No,No,1979-01-04,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012508,DaVita Birmingham East Dialysis,1105 EAST PARK DRIVE,BIRMINGHAM,AL,35235,Jefferson,Profit,Yes,DaVita,16,Yes,No,No,1979-06-28,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012512,FMC SELMA,905 MEDICAL CENTER PARKWAY,SELMA,AL,36701,Dallas,Profit,Yes,Fresenius Medical Care,26,Yes,No,No,1980-08-25,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012513,BMA LANGDALE,8 MEDICAL PARK,VALLEY,AL,36854,Chambers,Profit,Yes,Fresenius Medical Care,19,Yes,No,No,1981-02-12,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
