ccn,five_star,mortality_rate,hospitalization_rate,readmission_rate,transfusion_rate,source,source_date
012306,,6.5,256.0,33.8,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012500,2.0,22.5,108.7,25.7,6.1,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012501,2.0,26.6,189.6,29.6,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012502,2.0,25.9,166.3,13.6,39.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012505,2.0,26.8,160.4,20.9,65.2,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012506,3.0,25.4,141.6,26.4,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012507,4.0,23.8,109.5,17.9,33.2,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012508,2.0,25.2,175.6,21.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012512,2.0,25.7,112.5,20.0,70.2,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012513,5.0,17.6,117.5,12.9,37.2,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012515,4.0,17.0,102.5,20.6,47.1,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012516,3.0,19.4,90.2,9.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012517,2.0,30.1,122.9,13.2,92.9,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012519,3.0,26.1,81.8,14.8,37.2,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012520,2.0,25.5,127.4,25.7,6.3,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012521,3.0,24.1,163.8,20.1,25.1,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012522,4.0,21.2,103.1,17.2,35.6,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012523,2.0,28.0,178.5,30.2,41.6,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012524,3.0,27.6,113.6,21.5,21.9,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012525,3.0,28.1,110.6,26.6,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012526,2.0,16.9,147.9,31.4,123.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012527,3.0,13.6,151.0,33.6,0.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012528,3.0,27.5,162.8,23.0,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012529,4.0,23.7,115.6,32.0,12.6,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012530,5.0,18.5,69.9,9.2,0.0,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012531,3.0,22.4,132.0,24.7,16.4,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012532,3.0,27.6,126.4,20.3,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012533,1.0,26.8,139.4,31.6,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
012534,3.0,21.5,132.8,30.9,,CMS Dialysis Facility Compare — Listing by Facility (DFC_FACILITY),2026-03-25
