ccn,cahps_summary_star,cahps_professional_star,cahps_communication_star,cahps_medicines_star,cahps_overall_star,cahps_overall_9_10_pct,cahps_recommend_pct,source,source_date
017000,5.0,4.0,5.0,5.0,5.0,92.0,88.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017009,4.0,4.0,4.0,5.0,4.0,89.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017013,5.0,4.0,5.0,5.0,5.0,93.0,86.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017014,5.0,5.0,5.0,5.0,4.0,89.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017016,4.0,4.0,5.0,5.0,3.0,90.0,77.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017018,5.0,5.0,5.0,4.0,4.0,90.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017020,5.0,5.0,5.0,4.0,4.0,89.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017024,5.0,4.0,5.0,5.0,4.0,87.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017025,4.0,4.0,4.0,4.0,4.0,88.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017026,4.0,4.0,4.0,4.0,3.0,87.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017027,4.0,4.0,5.0,4.0,4.0,89.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017034,4.0,4.0,4.0,5.0,4.0,88.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017035,3.0,3.0,3.0,4.0,3.0,87.0,72.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017037,4.0,4.0,4.0,4.0,4.0,86.0,81.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017039,4.0,4.0,5.0,4.0,4.0,88.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017048,5.0,5.0,5.0,5.0,5.0,94.0,95.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017050,,,,,,83.0,95.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017051,4.0,4.0,5.0,4.0,4.0,91.0,80.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017052,5.0,5.0,5.0,4.0,4.0,90.0,90.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017053,5.0,5.0,5.0,5.0,4.0,88.0,88.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017054,4.0,5.0,4.0,3.0,5.0,92.0,84.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017055,4.0,4.0,4.0,3.0,4.0,90.0,85.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017058,4.0,4.0,5.0,4.0,4.0,88.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017063,3.0,3.0,3.0,3.0,3.0,83.0,79.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017066,4.0,4.0,4.0,4.0,3.0,87.0,83.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017069,5.0,5.0,5.0,5.0,5.0,91.0,87.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017070,4.0,4.0,5.0,5.0,3.0,86.0,82.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
017071,5.0,5.0,5.0,4.0,5.0,93.0,89.0,CMS Home Health Care — Patient Survey (HHCAHPS),2026-04-01
