ccn,star_rating,timely_initiation_pct,improve_ambulation_pct,improve_bed_transfer_pct,improve_bathing_pct,discharge_to_community_rate,source,source_date
027001,4,76.1,88.86,93.09,91.61,89.38,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027002,,,,,,,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027006,3,82.35,76.6,81.27,88.36,79.72,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027008,3,86.52,82.96,88.27,89.28,86.58,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027009,1.5,91.55,53.17,43.86,59.47,73.76,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027010,2.5,98.97,79.1,86.52,83.51,72.79,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027014,3.5,94.81,85.22,90.3,93.7,81.9,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027022,4,95.51,86.94,95.39,96.81,85.32,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027032,,,,,,,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027034,3,96,84.18,92.2,86.15,83.16,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027035,2,95.92,61.68,62.95,70.8,76.69,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027036,2.5,69.57,87.55,74.47,73.72,58.61,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027038,3,98.98,79.8,87.74,85.1,74.56,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
027305,1.5,70.16,68.57,71.57,71.36,80.85,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017000,3,97.38,86.44,84.15,86.44,89.64,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017009,3.5,98.98,90.72,91.6,92.23,83.29,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017013,4,100,92.14,92.12,91.63,89.21,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017014,4,98.81,90.45,92.42,92.4,83.65,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017016,4,98.28,90.29,91.29,91.76,88.09,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017018,4.5,100,97.34,96.27,95.09,80.42,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017020,3.5,99.52,87.57,90.04,90.25,82.38,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017024,3.5,96.32,91.8,90.1,91.75,85.29,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017025,4.5,99.62,94.5,93.23,95.09,80.96,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017026,4.5,100,96.58,94.14,95.29,83.19,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017027,3.5,97.32,90.4,89.15,91.3,90.09,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017034,4.5,100,95.09,95.86,97.63,80.85,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017035,4,98.86,92.86,91.5,94.6,88.29,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017037,2.5,97.33,81.75,84.41,87.51,90.13,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017039,4.5,99.91,93.38,92.92,93.26,86.73,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017048,4,100,91.16,90.49,91.25,88.16,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017050,2,65.49,83.71,70.96,78.8,43.89,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017051,4.5,99.95,92.6,94.75,94.06,88.1,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017052,4,99.91,90.87,90.37,92.26,87.35,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017053,4,99.29,92.02,93.18,93.07,83.26,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017054,5,100,96.79,95.79,95.61,80.81,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017055,4.5,99.94,94.85,92.38,94.23,81.75,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017058,4.5,99.9,94.29,93.78,96.18,85.04,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017063,3.5,97.68,90.25,89.66,91.11,77.4,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017066,5,99.93,96.01,95.91,96.69,84.29,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017069,4,99.86,91.35,92.52,93.91,87.26,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017070,4,99.67,91.33,90.84,93.46,86.18,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017071,5,100,99.05,97.81,97.96,81.18,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017072,4,99.26,92.65,95.06,92.36,84.51,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017078,4.5,100,95.42,97.2,95.37,86.75,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017079,4,99.51,93.17,95.62,95.48,84.74,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017080,3,98.76,87.06,87.36,86.29,85.5,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017082,2,95.35,75.32,77.83,75.57,66.69,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017084,4.5,100,96.73,91.88,95.98,80.88,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017085,3,99.02,84.94,83.88,85.32,92.66,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017086,4,99,90.98,86.72,90.48,83.24,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017088,4.5,100,97.74,94.41,96.75,85.28,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017089,4,98.77,89.14,93.42,93.41,88.17,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017090,5,100,95.52,97.35,97.27,84.51,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017091,5,98.62,100,99.51,100,86.69,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017092,4.5,99.36,94.38,97.79,94.98,76.82,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017093,4,99.61,92.89,92.01,93.12,88.92,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017094,3.5,98.26,88.53,87.57,91.64,89.08,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
017095,3.5,99.22,88.01,90.66,90.39,86.1,CMS Provider Data Catalog — Home Health Care Agencies (6jpm-sxkc),2026-05-23
