ccn,cahps_summary_star,cahps_recommend_pct,cahps_rating_9_10_pct,cahps_communication_pct,cahps_symptoms_pct,cahps_respect_pct,cahps_timely_pct,cahps_emotional_pct,source,source_date
001500,3.0,80.0,79.0,79.0,73.0,89.0,71.0,87.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
001515,,77.0,81.0,72.0,75.0,89.0,73.0,87.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
001517,,86.0,74.0,77.0,73.0,89.0,82.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
001562,,86.0,85.0,86.0,67.0,94.0,75.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
001571,,82.0,82.0,78.0,77.0,92.0,70.0,95.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011500,4.0,88.0,82.0,85.0,79.0,92.0,86.0,88.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011501,4.0,86.0,83.0,83.0,76.0,90.0,80.0,89.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011502,5.0,91.0,87.0,87.0,86.0,92.0,84.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011503,4.0,91.0,91.0,83.0,78.0,91.0,80.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011505,4.0,90.0,89.0,86.0,80.0,94.0,82.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011506,4.0,89.0,86.0,88.0,81.0,93.0,87.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011508,4.0,91.0,88.0,86.0,82.0,95.0,82.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011510,,92.0,86.0,90.0,92.0,95.0,92.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011511,5.0,97.0,94.0,93.0,90.0,98.0,88.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011512,4.0,91.0,89.0,86.0,78.0,93.0,85.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011513,5.0,91.0,89.0,89.0,81.0,94.0,87.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011514,,78.0,71.0,82.0,77.0,88.0,76.0,87.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011516,5.0,93.0,92.0,91.0,88.0,97.0,85.0,96.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011517,5.0,94.0,92.0,92.0,83.0,98.0,90.0,94.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011522,4.0,89.0,85.0,85.0,78.0,92.0,82.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011524,,87.0,84.0,86.0,83.0,90.0,86.0,85.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011526,5.0,98.0,95.0,94.0,87.0,99.0,90.0,97.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011527,4.0,89.0,86.0,87.0,78.0,93.0,83.0,93.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011528,4.0,87.0,86.0,83.0,78.0,91.0,82.0,90.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
011534,,92.0,87.0,90.0,92.0,97.0,96.0,92.0,CMS Hospice Care — CAHPS Hospice Survey (family caregivers),2026-05-01
