ccn,facility_name,address,city,state,zip,county,ownership,certification_date,source,source_date
001500,AGAVE HOSPICE AND PALLIATIVE CARE,4050 EAST GREENWAY ROAD SUITE 1,PHOENIX,AZ,85032,Maricopa,For-Profit,04/07/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001502,"FAMILY FIRST HOSPICE, INC",11225 N 28TH DRIVE STE B111,PHOENIX,AZ,85029,Maricopa,For-Profit,03/30/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001504,"VITAL HC, INC",4447 EAST BROADWAY ROAD SUITE 101,MESA,AZ,85206,Maricopa,For-Profit,06/03/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001505,ADVOCATE HOSPICE,"7600 NORTH 16TH STREET, SUITE 112",PHOENIX,AZ,85020,Maricopa,For-Profit,05/27/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001508,OPTIMAL HOSPICE INC,"64 EAST BROADWAY ROAD, SUITE 200 OFFICE 278",TEMPE,AZ,85282,Maricopa,For-Profit,06/22/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001509,"CARE PLUS HOSPICE CARE, LLC",10290 NORTH 92ND STREET SUITE 201,SCOTTDALE,AZ,85258,Maricopa,For-Profit,07/01/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001510,FAMILY CARE HOSPICE INC,"3420 EAST SHEA BOULEVARD, SUITE 200 OFFICE 250",PHOENIX,AZ,85028,Maricopa,For-Profit,07/20/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001511,COPPER STATE HOSPICE INC,"ONE SOUTH CHURCH AVENUE, SUITE 1200, OFFICE 1216",TUCSON,AZ,85701,Pima,For-Profit,07/14/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001513,EXPERT HOSPICE CARE INC,"11811 N TATUM BLVD, STE 3031 RM 70",PHOENIX,AZ,85028,Maricopa,For-Profit,02/15/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001514,UNIVERSAL HOSPICE CARE SERVICES,"13201 NORTH 35TH AVENUE, SUITE B8-C",PHOENIX,AZ,85029,Maricopa,For-Profit,03/23/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001515,PRISTINE HOSPICE LLC,"8607 NORTH 59TH AVENUE, SUITE A1",GLENDALE,AZ,85302,Maricopa,For-Profit,07/29/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001516,VALLEYSIDE HOSPICE INC,"9200 EAST RAINTREE DRIVE, SUITE 120",SCOTTSDALE,AZ,85260,Maricopa,For-Profit,08/10/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001517,SUNSET HOSPICE LLC,17 WEST WETMORE ROAD SUITE 100,TUCSON,AZ,85705,Pima,For-Profit,07/29/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001518,OVATION HOSPICE OF PHOENIX,410 N SCOTTSDALE RD STE 1000,TEMPE,AZ,85288,Maricopa,For-Profit,08/09/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001519,DEVOTED HOSPICE CARE INC,"4150 WEST PEORIA AVENUE, STE B 116-H",PHOENIX,AZ,85029,Maricopa,For-Profit,04/30/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001520,"LOVING HANDS HOSPICE, INC","11811 NORTH TATUM BOULEVARD, SUITE 3031 OFFICE 45",PHOENIX,AZ,85028,Maricopa,For-Profit,07/22/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001521,OTIUM HOSPICE INC,"64 EAST BROADWAY ROAD, SUITE 200 OFFICE 259",TEMPE,AZ,85282,Maricopa,For-Profit,06/15/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001522,GARNET HOSPICE CARE INC,"13416 N. 32ND ST.,",PHOENIX,AZ,85032,Maricopa,For-Profit,08/16/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001524,GOLDEN ROSE HOSPICE CARE INC,"4150 WEST PEORIA AVE, STE B114A",PHOENIX,AZ,85029,Maricopa,For-Profit,07/27/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001527,SUPPORTIVE HANDS HOSPICE INC,2930 E CAMELBACK RD STE 120,PHOENIX,AZ,85016,Maricopa,For-Profit,07/01/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001528,ENDEAVOR HOSPICE,4858 E BASELINE RD STE 104,MESA,AZ,85206,,,11/17/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001529,ACACIA HOSPICE CARE OF LAKE HAVASU INC,"1930 MESQUITE AVENUE, SUITE 9",LAKE HAVASU CITY,AZ,86403,,,02/25/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001530,ARIZONA PROFESSIONAL HOSPICE CARE,"11225 NORTH 28TH DRIVE, SUITE A208",PHOENIX,AZ,85029,Maricopa,,10/19/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001534,PRIMAVERA HOSPICE LLC,4200 E CAMELBACK ROAD.,PHOENIX,AZ,85018,Maricopa,,10/21/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001535,RD HOSPICE,"16165 NORTH 83RD AVE, SUITE 200",PEORIA,AZ,85382,,For-Profit,12/12/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001536,GLOBAL HOSPICE ARIZONA,9915 E BALL RD STE 114,SCOTTSDALE,AZ,85260,,,07/08/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001538,"DESERT SKY HOSPICE, LLC",2737 EAST GREENWAY ROAD SUITE 1,PHOENIX,AZ,85032,Maricopa,,05/12/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001541,WESTCARE HOSPICE & PALLIATIVE CARE LLC,2025 NORTH 3RD STREET SUITE 165,PHOENIX,AZ,85004,,,12/16/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001542,HIDDEN HILLS HOSPICE,1825 E NORTHERN AVENUE # 161 A,PHOENIX,AZ,85020,Maricopa,,07/05/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001544,PRO LIFE HOSPICE CARE INC,"4150 WEST PEORIA AVENUE, SUITE B113-G",PHOENIX,AZ,85029,Maricopa,,01/20/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001545,AZORNA HOSPICE AND PALLIATIVE CARE OF TUCSON,"1 SOUTH CHURCH AVENUE, SUITE 1200, OFFICE 1214",TUCSON,AZ,85701,Pima,,09/29/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001546,COMFORTING HOSPICE CENTER INC,4150 WEST PEORIA AVENUE SUITE B113 - F,PHOENIX,AZ,85029,Maricopa,,02/24/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001547,PRO CARE HOSPICE INC,"3420 EAST SHEA BLVD, SUITE 200, OFFICE 210",PHOENIX,AZ,85028,Maricopa,,01/27/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001549,SELECT HOME HOSPICE,65 S SYCAMORE STE 2B,MESA,AZ,85202,Maricopa,,01/12/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001550,ALAGA HOSPICE LLC,"3250 GATEWAY BLVD, SUITE 112",PRESCOTT,AZ,86303,Maricopa,,12/29/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001552,ARIZONA HOSPICE CARE INC,3101 NORTH CENTRAL AVENUE SUITE 0168,PHOENIX,AZ,85012,Maricopa,,12/30/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001553,SERENITY HOSPICE SERVICES INC,"13231 NORTH 35TH AVENUE, SUITE A11-B",PHOENIX,AZ,85029,Maricopa,,04/24/2023,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
001554,GOLDEN HORIZON HOSPICE INC,15333 NORTH PIMA ROAD STE 305-374,SCOTTSDALE,AZ,85260,Maricopa,,01/14/2022,CMS Provider Data Catalog — Hospice General Information (yc9t-dgbk),2026-05-23
