ccn,composite_process,care_index_overall,visits_last_days,pain_screening,treatment_preferences,beliefs_values,source,source_date
001500,98.5,10,85.4,98.9,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001502,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001504,91.7,10,78.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001505,80,9,60.7,100,96,88,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001508,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001509,91.7,,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001510,79.2,,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001511,100,9,68.6,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001513,60,7,60,73.3,96.7,70,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001514,62.1,6,,87.9,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001515,97.7,10,89.7,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001516,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001517,96.2,10,84.4,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001518,47.5,9,66.7,72.5,97.5,90,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001519,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001520,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001521,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001522,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001524,66.7,,,81.5,88.9,92.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001527,80.6,6,50,89.6,95.5,89.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001528,96.4,9,85.9,99.1,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001529,,9,83.9,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001530,90.9,4,,98.2,96.4,96.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001534,100,7,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001535,100,8,82.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001536,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001538,94.4,8,,98.1,98.1,98.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001541,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001542,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001544,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001545,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001546,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001547,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001549,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001550,96.6,10,69,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001552,,6,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001553,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001554,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001555,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001556,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001557,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001559,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001561,91.5,9,,100,100,98.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001562,95.6,10,63,96.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001563,82.6,,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001565,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001566,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001567,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001568,100,8,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001570,56.6,9,52.4,66,98.1,94.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001571,98.4,9,,98.4,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001572,,6,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001574,93.9,10,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001575,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001577,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001578,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001579,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
001580,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011500,99.2,9,77.6,99.8,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011501,98.6,10,70,99.1,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011502,99.6,7,71.5,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011503,90.3,10,22.2,99,100,94,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011505,99,10,86.2,99.6,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011506,99.5,9,68.8,99.7,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011508,99.6,9,71.8,99.9,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011510,100,8,81.7,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011511,99,9,86.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011512,98.1,10,78.8,99.4,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011513,94.2,9,55.5,98.6,100,99.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011514,100,10,83.4,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011516,98.9,10,89.8,99.4,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011517,98.6,10,81.6,99,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011522,98.6,10,74.2,99.5,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011524,84.3,10,54.6,97.5,98.7,97.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011526,97.3,9,89.4,99.3,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011527,99.8,10,84.5,100,100,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011528,99.7,10,64.7,100,100,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011534,97.3,10,94.3,100,100,99.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011538,88.2,10,71.2,91.2,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011543,98.9,10,71.7,99.9,100,99.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011546,98.3,10,77.9,99.3,100,99.8,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011548,100,10,71.6,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011549,100,9,43.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011558,100,10,78.6,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011566,100,9,91.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011567,100,9,77.5,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011576,99.1,8,67.8,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011577,94.2,10,61.3,96.9,96.6,96.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011579,100,10,81.5,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011582,100,9,79.4,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011583,99,10,73.7,100,100,99,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011586,99.4,10,89.4,100,100,99.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011591,100,10,82.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011592,98.3,8,87.2,99.4,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011597,100,10,80.3,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011598,99.2,8,47.7,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011600,99.3,10,71.6,100,99.7,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011602,96.8,9,50.6,100,100,99.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011603,99.2,9,84.6,99.8,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011604,100,9,74,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011605,99.6,9,64.2,99.8,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011607,100,8,58.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011612,90.2,9,76.9,97.2,96.5,96.5,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011617,100,8,81.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011621,98.3,9,59.9,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011622,98,9,66.7,99.7,99.9,99.3,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011623,99.6,9,85.5,100,100,99.6,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011624,91.1,9,66.2,98.4,100,96.2,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011626,96.9,10,83.7,98.4,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011628,98.8,8,50,98.8,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011629,98.3,7,56.1,99.4,100,99.4,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011632,100,9,81.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011634,100,10,84,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011635,100,10,82,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011636,100,9,80.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011638,92.9,10,64,97.4,100,97.1,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011642,99.2,10,67.5,99.8,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011643,100,10,71.7,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011654,99.8,10,75.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011655,99,10,68,99.3,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011656,94.7,8,11.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011657,100,10,81.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011660,99.6,9,62.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011661,96.8,9,71.3,100,100,98.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011662,100,9,68.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011663,97.5,10,71.7,98.4,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011664,100,10,71.8,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011668,100,9,61.8,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011669,100,10,81.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011670,100,9,85.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011671,100,8,71.4,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011673,100,8,62.2,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011674,99,10,72.7,99.4,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011675,96.8,10,62,99,100,99.9,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011676,97.5,10,66.8,98.3,100,99.7,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011677,100,10,72.1,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011678,100,10,76.8,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011680,100,9,,100,100,100,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
011681,,,,,,,CMS Provider Data Catalog — Hospice Provider Data (252m-zfp9),2026-05-23
