ccn,facility_name,address,city,state,zip,county,lat,lon,match_quality,source,source_date
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,31.215667,-85.361447,Exact,US Census Geocoder (Public_AR_Current) geocoded from CMS Hospital General Information addresses,2026-05-23
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,34.221222,-86.159366,Non_Exact,US Census Geocoder (Public_AR_Current) geocoded from CMS Hospital General Information addresses,2026-05-23
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,34.803808,-87.649945,Exact,US Census Geocoder (Public_AR_Current) geocoded from CMS Hospital General Information addresses,2026-05-23
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,31.291591,-86.255378,Exact,US Census Geocoder (Public_AR_Current) geocoded from CMS Hospital General Information addresses,2026-05-23
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,33.590809,-86.668757,Non_Exact,US Census Geocoder (Public_AR_Current) geocoded from CMS Hospital General Information addresses,2026-05-23
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,34.439857,-85.755988,Non_Exact,US Census Geocoder (Public_AR_Current) geocoded from CMS Hospital General Information addresses,2026-05-23
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,33.251352,-86.814597,Exact,US Census Geocoder (Public_AR_Current) geocoded from CMS Hospital General Information addresses,2026-05-23
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,1720 UNIVERSITY BLVD STE 305,BIRMINGHAM,AL,35233,JEFFERSON,33.503172,-86.802429,Exact,US Census Geocoder (Public_AR_Current) geocoded from CMS Hospital General Information addresses,2026-05-23
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,34.745888,-87.698972,Exact,US Census Geocoder (Public_AR_Current) geocoded from CMS Hospital General Information addresses,2026-05-23
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,31.451773,-85.631011,Exact,US Census Geocoder (Public_AR_Current) geocoded from CMS Hospital General Information addresses,2026-05-23
010022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,34.162721,-85.652382,Exact,US Census Geocoder (Public_AR_Current) geocoded from CMS Hospital General Information addresses,2026-05-23
