ccn,provider_name,address,city,state,zip,county,ownership,certification_date,source,source_date
013025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE -,BIRMINGHAM,AL,35209,Jefferson,For profit,10/01/1983,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
013028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD -,MONTGOMERY,AL,36116,Montgomery,For profit,05/11/1987,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
013029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH AL,1490 HIGHWAY 72 E -,HUNTSVILLE,AL,35811,Madison,For profit,06/04/1987,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
013030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET -,DOTHAN,AL,36301,Houston,For profit,05/12/1994,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
013031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE -,PELHAM,AL,35124,Shelby,For profit,05/25/2018,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
013032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE -,GADSDEN,AL,35903,Etowah,For profit,08/14/2001,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
013033,REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH -,PHENIX CITY,AL,36867,Russell,For profit,11/12/2003,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE -,BIRMINGHAM,AL,35235,Jefferson,Non-profit,04/30/1998,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY. -,OPELIKA,AL,36801,Lee,Government,10/01/2016,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T033,SPAIN REHABILITATION CENTER,SRC 223E -,BIRMINGHAM,AL,35249,Jefferson,Government,10/01/1997,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T092,DCH REHABILITATION CENTER,"809 UNIVERSITY BLVD, EAST -",TUSCALOOSA,AL,35401,Tuscaloosa,Government,05/01/2011,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T100,THOMAS HOSPITAL,750 MORPHY AVENUE -,FAIRHOPE,AL,36533,Baldwin,Non-profit,04/01/2018,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
