ccn,dtc_rs_rate,readmission_rsrr,mspb_score,source,source_date
013025,69.55,9.28,0.99,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
013028,65.20,11.37,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
013029,70.96,9.14,0.94,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
013030,70.81,10.90,1.02,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
013031,72.10,9.38,0.99,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
013032,72.36,10.02,1.04,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
013033,70.15,10.98,1.01,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T011,71.84,8.88,0.89,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T029,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T033,67.47,9.72,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T092,58.31,10.10,0.99,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T100,72.64,8.81,0.98,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T104,68.10,10.17,0.99,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T113,68.61,8.29,1.01,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T114,68.62,9.05,1.11,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T139,70.98,8.76,1.01,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T144,72.57,9.20,1.09,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
01T157,62.45,10.20,0.98,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
02T017,72.60,8.26,0.90,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
02TA01,73.45,7.37,0.94,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033025,68.62,10.12,0.94,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033028,71.01,9.78,0.95,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033029,70.81,10.46,0.93,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033032,69.81,9.35,0.96,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033034,70.19,9.65,0.93,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
033036,77.04,7.31,1.04,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
