ccn,dtc_rs_rate,readmission_rsrr,mspb_score,source,source_date
012006,18.53,19.93,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
012008,13.85,22.43,1.06,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
012009,12.98,20.57,0.90,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
012010,14.03,18.42,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
012011,12.88,21.94,0.90,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
012012,17.76,22.18,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
012014,18.68,23.41,0.97,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
022001,23.30,20.01,1.13,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
032001,11.26,19.12,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
032002,18.32,20.79,1.01,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
032004,20.80,19.91,1.01,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
032005,14.18,18.82,0.93,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
032006,18.11,21.54,0.95,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
042004,16.35,22.83,0.96,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
042008,24.09,24.08,0.84,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
042009,13.55,19.08,1.02,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
042010,17.92,20.56,0.89,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
042011,20.40,21.30,0.84,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
042012,16.56,19.66,0.99,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
042013,13.45,21.53,0.92,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052031,17.56,25.14,0.98,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052032,12.57,23.61,1.11,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052033,15.55,24.22,0.93,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052034,11.49,21.87,1.11,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052035,15.24,22.27,1.13,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052036,19.42,19.49,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052037,9.88,21.15,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052038,14.78,27.56,1.11,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052039,12.65,22.99,1.10,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052043,11.82,22.08,0.98,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052044,14.33,22.10,1.02,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052045,12.44,28.29,1.09,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052046,15.44,25.26,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052047,21.89,18.87,0.90,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052049,16.69,23.26,0.98,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052050,17.05,21.83,1.07,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052052,11.63,21.64,0.95,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052054,16.04,24.39,1.08,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052055,11.45,21.37,1.07,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
052057,11.39,21.99,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
062009,11.32,,1.06,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
062011,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
062012,12.97,20.62,1.08,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
062013,12.97,,1.01,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
062014,14.06,19.38,1.05,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
062017,21.24,19.25,0.93,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
072003,39.78,15.76,0.88,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
072004,41.10,18.32,0.79,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
082000,14.76,19.25,0.98,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
092002,11.26,19.98,0.96,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
092003,11.87,20.78,0.91,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102001,9.03,23.55,1.13,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102003,17.51,20.80,1.07,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102009,10.58,22.57,1.03,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102010,9.63,21.91,1.11,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102012,14.68,22.31,1.01,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102013,14.94,22.13,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102015,10.35,22.57,1.16,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102017,18.03,19.57,0.99,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102018,12.79,23.71,0.99,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102019,19.25,21.26,0.96,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102020,18.34,19.65,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102021,21.32,21.49,1.01,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102022,9.44,19.77,1.02,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102023,14.81,19.81,1.11,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102024,12.86,22.09,1.07,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102025,10.19,21.79,1.13,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102026,17.22,23.07,1.06,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102027,16.36,21.85,1.01,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102028,14.75,25.10,1.01,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102029,17.26,21.17,1.03,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102030,12.71,21.03,1.01,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
102031,11.24,21.32,1.20,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
112000,17.78,21.66,0.99,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
112003,75.43,18.30,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
112004,13.54,23.44,1.10,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
112006,18.23,22.82,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
112007,28.05,21.77,0.99,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
112011,9.70,23.28,1.05,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
112012,14.21,23.28,0.96,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
112013,18.01,20.73,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
112016,19.30,18.60,0.95,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
112017,26.81,23.00,0.94,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
112018,16.44,20.20,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
122001,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
132001,17.89,18.39,0.92,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
132002,17.78,18.07,0.95,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
142008,15.54,22.85,1.02,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
142010,15.30,21.92,1.08,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
142011,12.67,23.45,1.11,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
142013,18.21,22.25,0.87,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
142015,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
152007,12.95,21.72,0.99,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
152013,11.92,23.13,0.92,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
152014,11.68,20.28,1.03,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
152020,18.92,19.00,0.94,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
152024,15.71,23.15,0.99,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
152025,16.72,23.29,0.89,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
152028,14.06,22.29,0.90,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
162001,17.12,21.09,0.99,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
162003,13.50,21.53,0.95,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
172004,12.21,24.12,0.96,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
172005,17.18,19.09,0.98,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
172007,13.60,20.38,1.07,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
182001,12.04,22.93,0.94,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
182002,21.11,20.86,0.90,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
182003,15.76,21.65,0.90,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
182004,15.94,21.61,0.99,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
182005,22.58,18.43,0.84,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
182006,28.94,21.11,0.87,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
182008,20.61,22.23,0.88,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
182009,18.04,21.89,0.92,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
182010,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
182011,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192004,23.12,22.21,0.84,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192006,23.10,21.57,1.01,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192007,21.73,24.49,0.98,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192008,15.45,22.13,0.97,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192010,21.76,24.15,0.93,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192011,15.90,21.45,1.01,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192013,21.27,25.10,0.87,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192015,20.78,20.03,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192016,25.27,19.75,0.92,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192028,15.63,18.24,0.93,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192029,23.06,22.32,0.92,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192031,24.97,23.52,0.96,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192032,19.88,18.76,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192035,18.43,20.97,1.05,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192036,16.49,24.30,1.02,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192037,24.36,23.30,0.94,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192041,16.31,22.49,1.03,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192043,20.74,19.54,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192048,21.04,20.95,0.95,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192057,15.54,23.63,1.03,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
192058,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
212002,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
212003,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
222000,47.11,16.65,0.96,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
222002,21.84,23.92,0.85,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
222003,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
222006,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
222007,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
222023,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
222043,33.02,19.20,0.73,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
222046,20.90,21.29,0.86,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
222047,25.43,18.16,0.84,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
222048,26.92,20.77,0.84,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
232012,20.25,21.27,0.90,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
232019,20.51,21.76,0.95,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
232020,19.60,21.98,0.91,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
232023,14.82,23.28,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
232024,16.57,22.86,0.91,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
232029,13.04,23.21,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
232031,17.40,22.31,0.97,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
232033,13.88,20.30,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
232034,20.84,19.93,0.86,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
232035,15.21,20.61,0.90,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
232037,14.89,18.06,0.93,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
232039,17.36,21.35,1.07,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
242004,24.14,20.06,1.25,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
242005,24.63,20.94,0.91,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
252003,19.20,20.37,1.03,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
252004,21.70,22.94,0.88,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
252005,17.27,22.57,1.05,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
252006,13.02,19.64,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
252007,12.25,22.29,1.07,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
252013,16.88,23.38,0.92,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
252014,23.91,20.89,0.93,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
262010,12.70,20.16,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
262013,19.87,18.97,0.97,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
262015,18.47,20.66,0.86,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
262016,19.05,20.74,0.89,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
262017,18.41,20.97,0.98,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
262018,19.07,19.51,0.92,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
262019,24.10,20.74,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
262020,20.03,23.30,0.88,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
272001,26.65,19.03,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
282000,26.02,16.50,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
282001,18.22,19.52,0.93,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
282003,27.72,17.89,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
292002,11.56,20.09,1.03,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
292003,10.54,21.74,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
292004,22.67,19.90,0.88,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
292006,9.69,20.04,1.14,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
292007,13.85,22.58,1.03,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
292009,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
312014,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
312017,30.17,25.04,0.95,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
312018,8.26,23.71,0.99,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
312019,13.22,19.65,1.13,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
312020,10.57,22.24,0.97,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
312022,10.54,22.96,1.01,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
312023,12.49,22.60,1.02,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
312024,19.88,23.82,1.13,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
312025,11.14,23.62,1.17,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
322002,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
322003,25.76,23.05,0.89,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
322004,20.31,20.78,0.96,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
332008,10.31,20.75,0.92,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
342012,15.60,23.61,0.93,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
342013,22.45,23.52,0.89,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
342014,19.29,19.39,0.91,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
342015,17.57,19.37,0.91,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
342018,24.25,19.53,0.86,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
342020,11.34,20.27,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
352004,18.64,20.64,0.88,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
352005,27.87,19.52,0.85,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
362015,22.64,21.02,0.89,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
362016,13.97,19.94,1.07,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
362019,14.68,22.41,1.02,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
362020,23.17,20.97,0.86,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
362022,7.69,23.66,1.05,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
362023,18.05,20.97,0.97,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
362024,14.20,24.01,1.02,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
362026,15.69,21.27,0.98,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
362027,11.26,21.35,1.03,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
362028,13.84,19.91,1.01,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
