ccn,overall_rating,health_inspection_rating,staffing_rating,qm_rating,rn_hprd,total_nurse_hprd,total_nurse_turnover_pct,num_fines,total_fines_usd,num_payment_denials,num_penalties,source,source_date
015009,2,2,4,4,1.02491,4.04877,41.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015010,5,5,4,2,0.85124,4.40675,47.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015012,5,4,4,5,0.86006,4.70922,,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015014,3,2,3,5,0.67327,3.69241,54.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015015,2,2,4,2,0.37319,3.38576,31.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015016,5,4,4,5,0.61447,3.79332,47.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015019,1,1,3,4,0.85477,3.20351,54.4,1,182968.00,1,2,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015023,4,4,3,4,0.57518,3.55710,48.2,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015024,3,3,3,3,0.45535,3.95578,48.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015027,1,1,3,2,0.54250,3.92953,57.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015028,5,5,4,4,1.17533,3.25983,33.8,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015031,3,3,4,3,0.71666,3.45385,33.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015032,1,1,3,4,0.53545,3.37153,48.2,1,10065.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015034,3,3,4,4,0.75530,3.91716,46.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015035,5,4,5,3,0.69352,5.16714,29.5,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015040,2,2,3,4,0.47691,3.00710,50.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015042,3,3,4,4,0.51367,3.46127,36.4,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015044,1,2,2,1,0.34664,3.67841,61.9,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015045,3,4,1,3,0.61186,2.67353,35.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015047,2,2,3,4,0.31748,3.89156,47.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015048,2,2,4,2,0.92822,4.18663,52.4,1,26982.00,0,1,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015049,3,3,4,3,0.74923,4.06073,50.0,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015050,2,1,2,5,0.46037,3.18317,68.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015053,5,5,4,3,0.55261,4.16770,45.1,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015060,2,1,3,5,0.93556,3.40029,81.7,3,17346.00,1,4,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015063,2,2,4,4,0.98181,3.08430,51.3,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
015065,1,1,4,2,0.70132,4.19614,56.7,0,0.00,0,0,CMS Nursing Home Care Compare — Provider Information (NH_ProviderInfo),2026-04-01
