county_fips,cbsa_code,cbsa_title,area_type,central_outlying
46013,10100,"Aberdeen, SD",Micropolitan,Central
46045,10100,"Aberdeen, SD",Micropolitan,Outlying
53027,10140,"Aberdeen, WA",Micropolitan,Central
48059,10180,"Abilene, TX",Metropolitan,Outlying
48253,10180,"Abilene, TX",Metropolitan,Outlying
48441,10180,"Abilene, TX",Metropolitan,Central
40123,10220,"Ada, OK",Micropolitan,Central
26091,10300,"Adrian, MI",Micropolitan,Central
72003,10380,"Aguadilla, PR",Metropolitan,Central
72005,10380,"Aguadilla, PR",Metropolitan,Central
72011,10380,"Aguadilla, PR",Metropolitan,Central
72071,10380,"Aguadilla, PR",Metropolitan,Central
72099,10380,"Aguadilla, PR",Metropolitan,Central
72117,10380,"Aguadilla, PR",Metropolitan,Central
72131,10380,"Aguadilla, PR",Metropolitan,Central
39133,10420,"Akron, OH",Metropolitan,Central
39153,10420,"Akron, OH",Metropolitan,Central
35035,10460,"Alamogordo, NM",Micropolitan,Central
08003,10480,"Alamosa, CO",Micropolitan,Central
08021,10480,"Alamosa, CO",Micropolitan,Outlying
08023,10480,"Alamosa, CO",Micropolitan,Outlying
13095,10500,"Albany, GA",Metropolitan,Central
13177,10500,"Albany, GA",Metropolitan,Central
13273,10500,"Albany, GA",Metropolitan,Outlying
13321,10500,"Albany, GA",Metropolitan,Outlying
41043,10540,"Albany, OR",Metropolitan,Central
36001,10580,"Albany-Schenectady-Troy, NY",Metropolitan,Central
36083,10580,"Albany-Schenectady-Troy, NY",Metropolitan,Central
36091,10580,"Albany-Schenectady-Troy, NY",Metropolitan,Outlying
36093,10580,"Albany-Schenectady-Troy, NY",Metropolitan,Central
36095,10580,"Albany-Schenectady-Troy, NY",Metropolitan,Outlying
37167,10620,"Albemarle, NC",Micropolitan,Central
27047,10660,"Albert Lea, MN",Micropolitan,Central
01095,10700,"Albertville, AL",Micropolitan,Central
35001,10740,"Albuquerque, NM",Metropolitan,Central
35043,10740,"Albuquerque, NM",Metropolitan,Central
35057,10740,"Albuquerque, NM",Metropolitan,Outlying
35061,10740,"Albuquerque, NM",Metropolitan,Outlying
01123,10760,"Alexander City, AL",Micropolitan,Central
22043,10780,"Alexandria, LA",Metropolitan,Outlying
22079,10780,"Alexandria, LA",Metropolitan,Central
27041,10820,"Alexandria, MN",Micropolitan,Central
48047,10860,"Alice, TX",Micropolitan,Outlying
48249,10860,"Alice, TX",Micropolitan,Central
34041,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,Central
42025,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,Outlying
42077,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,Central
42095,10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,Central
26057,10940,"Alma, MI",Micropolitan,Central
26007,10980,"Alpena, MI",Micropolitan,Central
42013,11020,"Altoona, PA",Metropolitan,Central
40065,11060,"Altus, OK",Micropolitan,Central
48011,11100,"Amarillo, TX",Metropolitan,Outlying
48065,11100,"Amarillo, TX",Metropolitan,Outlying
48359,11100,"Amarillo, TX",Metropolitan,Outlying
48375,11100,"Amarillo, TX",Metropolitan,Central
48381,11100,"Amarillo, TX",Metropolitan,Central
13249,11140,"Americus, GA",Micropolitan,Outlying
13261,11140,"Americus, GA",Micropolitan,Central
19015,11180,"Ames, IA",Metropolitan,Outlying
19169,11180,"Ames, IA",Metropolitan,Central
25015,11200,"Amherst Town-Northampton, MA",Metropolitan,Central
36057,11220,"Amsterdam, NY",Micropolitan,Central
02020,11260,"Anchorage, AK",Metropolitan,Central
02170,11260,"Anchorage, AK",Metropolitan,Outlying
37085,11360,"Anderson Creek, NC",Micropolitan,Central
48003,11380,"Andrews, TX",Micropolitan,Central
18151,11420,"Angola, IN",Micropolitan,Central
26161,11460,"Ann Arbor, MI",Metropolitan,Central
01015,11500,"Anniston-Oxford, AL",Metropolitan,Central
55015,11540,"Appleton, WI",Metropolitan,Central
55087,11540,"Appleton, WI",Metropolitan,Central
12027,11580,"Arcadia, FL",Micropolitan,Central
40019,11620,"Ardmore, OK",Micropolitan,Central
72013,11640,"Arecibo, PR",Metropolitan,Central
72027,11640,"Arecibo, PR",Metropolitan,Central
72065,11640,"Arecibo, PR",Metropolitan,Central
72115,11640,"Arecibo, PR",Metropolitan,Central
05019,11660,"Arkadelphia, AR",Micropolitan,Central
20035,11680,"Arkansas City-Winfield, KS",Micropolitan,Central
37021,11700,"Asheville, NC",Metropolitan,Central
37089,11700,"Asheville, NC",Metropolitan,Central
37115,11700,"Asheville, NC",Metropolitan,Outlying
39005,11740,"Ashland, OH",Micropolitan,Central
41007,11820,"Astoria, OR",Micropolitan,Central
20005,11860,"Atchison, KS",Micropolitan,Central
39009,11900,"Athens, OH",Micropolitan,Central
47107,11940,"Athens, TN",Micropolitan,Central
47121,11940,"Athens, TN",Micropolitan,Outlying
48213,11980,"Athens, TX",Micropolitan,Central
13059,12020,"Athens-Clarke County, GA",Metropolitan,Central
13195,12020,"Athens-Clarke County, GA",Metropolitan,Outlying
13219,12020,"Athens-Clarke County, GA",Metropolitan,Central
13221,12020,"Athens-Clarke County, GA",Metropolitan,Outlying
13013,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13015,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13035,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13045,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13057,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13063,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13067,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13077,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13085,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13089,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13097,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13113,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13117,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13121,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13135,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13143,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13149,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13151,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13159,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13187,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13199,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13211,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13217,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13223,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13227,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13231,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13247,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
13255,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Outlying
13297,12060,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,Central
34001,12100,"Atlantic City-Hammonton, NJ",Metropolitan,Central
34009,12100,"Atlantic City-Hammonton, NJ",Metropolitan,Central
18033,12140,"Auburn, IN",Micropolitan,Central
36011,12180,"Auburn, NY",Micropolitan,Central
01081,12220,"Auburn-Opelika, AL",Metropolitan,Central
01087,12220,"Auburn-Opelika, AL",Metropolitan,Outlying
13033,12260,"Augusta-Richmond County, GA-SC",Metropolitan,Outlying
13073,12260,"Augusta-Richmond County, GA-SC",Metropolitan,Central
13181,12260,"Augusta-Richmond County, GA-SC",Metropolitan,Outlying
13189,12260,"Augusta-Richmond County, GA-SC",Metropolitan,Outlying
13245,12260,"Augusta-Richmond County, GA-SC",Metropolitan,Central
45003,12260,"Augusta-Richmond County, GA-SC",Metropolitan,Central
45037,12260,"Augusta-Richmond County, GA-SC",Metropolitan,Outlying
23011,12300,"Augusta-Waterville, ME",Micropolitan,Central
27099,12380,"Austin, MN",Micropolitan,Central
48021,12420,"Austin-Round Rock-San Marcos, TX",Metropolitan,Outlying
48055,12420,"Austin-Round Rock-San Marcos, TX",Metropolitan,Outlying
48209,12420,"Austin-Round Rock-San Marcos, TX",Metropolitan,Central
48453,12420,"Austin-Round Rock-San Marcos, TX",Metropolitan,Central
48491,12420,"Austin-Round Rock-San Marcos, TX",Metropolitan,Central
13087,12460,"Bainbridge, GA",Micropolitan,Central
41001,12520,"Baker City, OR",Micropolitan,Central
06029,12540,"Bakersfield-Delano, CA",Metropolitan,Central
24003,12580,"Baltimore-Columbia-Towson, MD",Metropolitan,Central
24005,12580,"Baltimore-Columbia-Towson, MD",Metropolitan,Central
24013,12580,"Baltimore-Columbia-Towson, MD",Metropolitan,Outlying
24025,12580,"Baltimore-Columbia-Towson, MD",Metropolitan,Outlying
24027,12580,"Baltimore-Columbia-Towson, MD",Metropolitan,Central
24035,12580,"Baltimore-Columbia-Towson, MD",Metropolitan,Outlying
24510,12580,"Baltimore-Columbia-Towson, MD",Metropolitan,Central
23019,12620,"Bangor, ME",Metropolitan,Central
55111,12660,"Baraboo, WI",Micropolitan,Central
25001,12700,"Barnstable Town, MA",Metropolitan,Central
50023,12740,"Barre, VT",Micropolitan,Central
40147,12780,"Bartlesville, OK",Micropolitan,Central
36037,12860,"Batavia, NY",Micropolitan,Central
05063,12900,"Batesville, AR",Micropolitan,Central
22005,12940,"Baton Rouge, LA",Metropolitan,Central
22007,12940,"Baton Rouge, LA",Metropolitan,Outlying
22033,12940,"Baton Rouge, LA",Metropolitan,Central
22037,12940,"Baton Rouge, LA",Metropolitan,Outlying
22047,12940,"Baton Rouge, LA",Metropolitan,Central
22063,12940,"Baton Rouge, LA",Metropolitan,Central
22077,12940,"Baton Rouge, LA",Metropolitan,Outlying
22091,12940,"Baton Rouge, LA",Metropolitan,Outlying
22121,12940,"Baton Rouge, LA",Metropolitan,Central
22125,12940,"Baton Rouge, LA",Metropolitan,Outlying
26025,12980,"Battle Creek, MI",Metropolitan,Central
26017,13020,"Bay City, MI",Metropolitan,Central
48321,13060,"Bay City, TX",Micropolitan,Central
31067,13100,"Beatrice, NE",Micropolitan,Central
48199,13140,"Beaumont-Port Arthur, TX",Metropolitan,Outlying
48245,13140,"Beaumont-Port Arthur, TX",Metropolitan,Central
