aco_id,aco_name,participant_org,service_area,agreement_period,initial_start_date,current_start_date,basic_track,basic_track_level,enhanced_track,high_revenue_aco,low_revenue_aco,public_website,source_id
A2811,Abacus Health LLC,ARIZONA COMMUNITY PHYSICIANS PC,AZ,3,01/01/2016,01/01/2024,0,N/A,1,0,1,https://www.abacushealthaco.com/en/public-reporting,cms_mssp_aco_py2026
A2811,Abacus Health LLC,TMC MEDICAL NETWORK,AZ,3,01/01/2016,01/01/2024,0,N/A,1,0,1,https://www.abacushealthaco.com/en/public-reporting,cms_mssp_aco_py2026
A5554,ABC Network,CANYONLANDS COMMUNITY HEALTH CARE,"AZ, NV",1,01/01/2025,01/01/2025,1,E,0,0,1,AZBestCare.org,cms_mssp_aco_py2026
A5554,ABC Network,CHIRICAHUA COMMUNITY HEALTH CENTERS INC,"AZ, NV",1,01/01/2025,01/01/2025,1,E,0,0,1,AZBestCare.org,cms_mssp_aco_py2026
A5554,ABC Network,MARANA HEALTH CENTER INC,"AZ, NV",1,01/01/2025,01/01/2025,1,E,0,0,1,AZBestCare.org,cms_mssp_aco_py2026
A5554,ABC Network,SUN LIFE FAMILY HEALTH CENTER INC,"AZ, NV",1,01/01/2025,01/01/2025,1,E,0,0,1,AZBestCare.org,cms_mssp_aco_py2026
A5554,ABC Network,SUNSET COMMUNITY HEALTH CENTER INC,"AZ, NV",1,01/01/2025,01/01/2025,1,E,0,0,1,AZBestCare.org,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.",CARECONNECT HEALTH INC,GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","Center for Pan Asian Community Services, Inc.",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.",Curtis V. Cooper Primary Health Care Inc,GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","Diversity Health Center, Inc.",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","ETHNE HEALTH, INC",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","FIRST CHOICE PRIMARY CARE, INC.",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","GEORGIA MOUNTAINS HEALTH SERVICES, INC.",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
A1596,"Accountable Care Coalition of Georgia, LLC.","Health Education Assessment and Leadership, Inc",GA,4,01/01/2013,01/01/2024,0,N/A,1,0,1,https://www.accgeorgia.net/content/dam/centene/aco/pdfs/accga/A1596RequiredACOInformationforPublicReporting.pdf,cms_mssp_aco_py2026
