generic_name,company_name,therapeutic_category,dosage_form,status,availability,package_ndc,initial_posting_date,update_date,update_type,source_id
Morphine Sulfate Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Available,0409-1896-20,10/31/2017,05/08/2026,Reverified,openfda_drug_shortages
Methylprednisolone Acetate Injection,Eugia US LLC,Rheumatology,Injection,Current,Available,55150-313-01,12/15/2021,05/08/2026,Revised,openfda_drug_shortages
Cromolyn Sodium Concentrate,"Rising Pharma Holdings, Inc.",Pulmonary/Allergy,Concentrate,Current,Limited Availability,16571-600-96,11/03/2023,03/02/2026,Reverified,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,Slayback Pharma,Anesthesia,Injection,Current,Available,71225-126-05,04/10/2020,09/17/2025,Reverified,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.",Psychiatry,Tablet,Current,Available,11534-193-01,10/12/2022,05/18/2026,Reverified,openfda_drug_shortages
Carboplatin Injection,"Hospira, Inc., a Pfizer Company",Oncology,Injection,Current,Unavailable,61703-339-56,04/28/2023,05/08/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Teva Pharmaceuticals USA, Inc.",Psychiatry,Capsule,Current,Available,0480-3567-01,07/14/2023,05/18/2026,Revised,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Teva Pharmaceuticals USA, Inc.",Psychiatry,Tablet,Current,Available,62037-727-01,07/26/2023,05/18/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Alvogen,Psychiatry,Capsule,Current,Available,47781-563-01,07/14/2023,05/19/2026,Reverified,openfda_drug_shortages
Clonazepam Tablet,"Prinston Pharmaceutical, Inc.",Neurology; Pediatric; Psychiatry,Tablet,Current,Available,43547-406-10,03/10/2023,05/05/2026,Reverified,openfda_drug_shortages
Clonazepam Tablet,"Prinston Pharmaceutical, Inc.",Neurology; Pediatric; Psychiatry,Tablet,Current,Available,43547-408-10,03/10/2023,05/05/2026,Reverified,openfda_drug_shortages
Lorazepam Injection,"Fresenius Kabi USA, LLC",Neurology,Injection,Current,Available,65219-368-02,05/03/2018,04/23/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1165-01,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Mylan Pharmaceuticals Inc., a Viatris Company",Psychiatry,Capsule,Current,Available,0378-6855-77,07/14/2023,05/19/2026,Reverified,openfda_drug_shortages
Naltrexone Hydrochloride Tablet,"Elite Laboratories, Inc.",Analgesia/Addiction,Tablet,Resolved,,51224-206-50,02/29/2024,02/11/2026,Revised,openfda_drug_shortages
Meperidine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Unavailable,0409-1418-01,05/30/2025,05/08/2026,Revised,openfda_drug_shortages
Amino Acid Injection,Baxter Healthcare,Gastroenterology,Injection,Current,Available,0338-1130-06,12/08/2020,05/16/2026,Reverified,openfda_drug_shortages
Decitabine Injection,Ingenus Pharmaceuticals LLC,Oncology,Injection,To Be Discontinued,,68001-573-41,02/20/2026,02/20/2026,New,openfda_drug_shortages
Methotrexate Injection,"Assertio Specialty Pharmaceuticals, LLC",Rheumatology,Injection,To Be Discontinued,,82497-010-04,08/29/2025,08/29/2025,New,openfda_drug_shortages
"Carbamazepine Capsule, Extended Release",Takeda Pharmaceuticals USA Inc.,Neurology,"Capsule, Extended Release",To Be Discontinued,,54092-171-12,12/19/2025,12/19/2025,New,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Sun Pharmaceutical Industries, Inc.",Psychiatry,Capsule,Current,Available,57664-049-88,07/14/2023,04/17/2026,Revised,openfda_drug_shortages
Naltrexone Hydrochloride Tablet,"Elite Laboratories, Inc.",Analgesia/Addiction,Tablet,Resolved,,51224-206-30,02/29/2024,02/11/2026,Revised,openfda_drug_shortages
Methotrexate Sodium Injection,"Teva Pharmaceuticals USA, Inc.",Rheumatology; Oncology,Injection,Current,Available,0703-3678-01,03/13/2023,05/18/2026,Revised,openfda_drug_shortages
Clonazepam Tablet,Rubicon Research Private Limited,Neurology; Pediatric; Psychiatry,Tablet,Current,Available,72888-152-30,03/10/2023,01/05/2026,Reverified,openfda_drug_shortages
Amino Acid Injection,Otsuka ICU Medical LLC,Gastroenterology,Injection,Current,Available,0990-7172-17,12/08/2020,05/15/2026,Revised,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release",Janssen Pharmaceuticals,Psychiatry,Tablet,Current,Available,50458-586-01,07/26/2023,04/17/2026,Reverified,openfda_drug_shortages
Carboplatin Injection,Teyro Labs,Oncology,Injection,Current,Available,60505-6282-3,04/28/2023,05/08/2026,Revised,openfda_drug_shortages
