state,year,chow_count
AK,2018,2
AL,2016,1
AL,2017,4
AL,2018,1
AL,2019,1
AL,2021,1
AL,2023,1
AL,2024,4
AL,2025,1
AR,2016,2
AR,2017,2
AR,2018,3
AR,2019,2
AR,2020,2
AR,2021,1
AR,2022,4
AR,2023,6
AR,2024,2
AZ,2019,1
AZ,2024,5
CA,2016,9
CA,2017,3
CA,2018,12
CA,2019,20
CA,2020,4
CA,2021,13
CA,2022,1
CA,2023,3
CA,2024,5
CA,2025,4
CO,2018,1
CO,2019,1
CO,2022,2
CT,2016,3
CT,2017,1
CT,2019,5
DC,2024,1
FL,2016,3
FL,2017,3
FL,2018,4
FL,2019,7
FL,2020,2
FL,2021,1
FL,2023,2
FL,2024,7
FL,2025,2
GA,2016,10
GA,2017,8
GA,2018,1
GA,2021,4
GA,2023,6
HI,2017,4
HI,2024,1
IA,2019,2
IA,2021,3
IA,2024,1
IA,2025,2
ID,2017,2
ID,2019,1
ID,2021,2
ID,2024,1
IL,2018,3
IL,2019,2
IL,2020,7
IL,2021,2
IL,2022,2
IL,2023,9
IL,2025,13
IN,2018,1
IN,2019,1
IN,2020,1
IN,2024,2
IN,2025,1
KS,2018,2
KS,2019,3
KS,2020,4
KS,2021,2
KS,2022,2
KS,2023,4
KS,2024,4
KY,2016,2
KY,2018,3
KY,2019,7
KY,2020,1
KY,2021,5
KY,2024,6
LA,2016,1
LA,2017,2
LA,2018,6
LA,2019,12
LA,2020,2
LA,2022,2
LA,2024,4
LA,2025,2
MA,2019,1
MA,2024,10
MD,2018,1
MD,2019,1
MD,2020,1
MD,2022,2
MD,2024,1
ME,2020,1
ME,2021,3
ME,2024,1
MI,2017,1
MI,2018,3
MI,2025,1
MN,2016,2
MN,2017,2
MN,2018,8
MN,2019,1
MN,2020,4
MN,2021,2
MN,2022,1
MN,2023,2
MO,2023,2
MO,2024,4
MS,2017,2
MS,2018,1
MS,2019,3
MS,2020,3
MS,2023,1
MS,2024,1
MS,2025,2
MT,2016,5
MT,2021,7
MT,2022,2
MT,2023,2
NC,2016,2
NC,2017,2
NC,2018,1
NC,2019,15
NC,2020,2
NC,2021,4
NC,2024,4
NC,2025,2
ND,2020,1
NE,2018,1
NE,2022,1
NE,2024,1
NH,2020,1
NH,2021,4
NJ,2016,1
NJ,2018,10
NJ,2021,2
NJ,2022,3
NJ,2023,1
NJ,2024,1
NM,2020,1
NM,2021,1
NM,2024,1
NV,2016,1
NV,2019,2
NV,2024,3
NY,2016,1
NY,2019,5
NY,2020,3
NY,2021,5
NY,2022,3
NY,2025,2
OH,2016,2
OH,2017,1
OH,2018,3
OH,2019,4
OH,2020,1
OH,2021,1
OH,2022,5
OH,2023,2
OH,2024,3
OH,2025,2
OK,2017,6
OK,2018,2
OK,2019,5
OK,2020,8
OK,2021,6
OK,2022,1
OK,2023,4
OK,2024,1
OK,2025,1
OR,2018,1
OR,2023,3
PA,2017,2
PA,2018,3
PA,2019,1
PA,2020,1
PA,2021,4
PA,2022,1
PA,2023,3
PA,2025,1
PR,2017,1
PR,2020,1
PR,2023,2
PR,2024,1
RI,2021,1
SC,2016,10
SC,2018,1
SC,2019,10
SC,2020,1
SC,2021,4
SC,2024,3
SC,2025,2
TN,2016,2
TN,2017,2
TN,2018,2
TN,2019,1
TN,2021,4
TN,2022,3
TN,2023,1
TN,2024,3
TX,2016,2
TX,2017,7
TX,2018,8
TX,2019,12
TX,2020,8
TX,2021,4
TX,2023,5
TX,2024,17
TX,2025,1
UT,2023,6
UT,2024,2
VA,2017,3
VA,2020,8
VA,2021,1
VA,2023,1
WA,2016,1
WA,2018,4
WA,2020,1
WA,2021,2
WA,2023,2
WI,2017,1
WI,2018,3
WI,2022,1
WV,2019,1
WV,2020,4
WV,2022,2
WV,2023,6
WV,2024,1
WY,2018,4
