year,state,ma_enrollment,avg_age,female_pct,dual_eligible_pct,race_white_pct,race_black_pct,race_hispanic_pct,ip_stays_per_1000,snf_days_per_1000,er_visits_per_1000
2022,CA,3188104,74,0.5584,0.2156,0.4949,0.0695,0.2644,158.115,624.3385,312.3245
2022,FL,2592290,73,0.5558,0.2744,0.612,0.1312,0.2139,210.6196,707.4826,358.186
2022,TX,2194093,72,0.5654,0.2443,0.5125,0.1392,0.2952,225.4904,818.9133,390.4825
2022,NY,1790206,73,0.5704,0.3597,0.5723,0.1442,0.1551,199.424,755.8828,350.0709
2022,PA,1399160,73,0.5617,0.2264,0.8242,0.1035,0.0365,225.1258,869.7869,374.5762
2022,OH,1258294,72,0.5694,0.2255,0.8216,0.1243,0.0168,234.6407,1502.6496,403.9215
2022,MI,1203668,72,0.5528,0.1619,0.8122,0.1303,0.0195,206.3351,851.2671,323.6083
2022,NC,1033740,72,0.5804,0.2035,0.7024,0.2413,0.0202,191.9516,664.1912,344.6873
2022,GA,928498,71,0.5802,0.2918,0.5763,0.3532,0.0249,219.3381,488.6656,401.9459
2022,IL,867590,73,0.5645,0.2522,0.6573,0.1828,0.0989,216.9919,887.0561,362.9111
2022,TN,689526,71,0.5616,0.2935,0.8027,0.1625,0.0124,220.3282,933.302,419.13
2022,AZ,679967,72,0.5586,0.2798,0.7233,0.0419,0.1832,198.4993,768.6858,318.8596
2022,WI,658549,73,0.5505,0.1472,0.8813,0.0551,0.0224,153.1063,625.8304,280.4818
2022,PR,640589,72,0.5507,,0.0029,0.0002,0.9967,176.8029,49.3749,400.0646
2022,NJ,617855,73,0.563,0.1828,0.5953,0.1576,0.1548,218.2373,1053.2568,360.1719
2022,WA,613814,72,0.5603,0.2066,0.8096,0.0326,0.0436,154.1737,508.5743,289.2733
2022,MO,611180,72,0.5628,0.1906,0.8407,0.1189,0.0145,229.142,588.177,400.6087
2022,MN,605401,74,0.5513,0.1251,0.9116,0.0263,0.0112,149.8263,847.6993,217.8325
2022,AL,589541,70,0.5701,0.2703,0.6872,0.2883,0.008,220.6564,569.9756,372.0742
2022,IN,579080,72,0.5595,0.2355,0.8482,0.1007,0.0246,218.785,884.6653,385.774
2022,VA,527547,71,0.5677,0.2336,0.63,0.2711,0.0332,220.4429,836.4923,447.1583
2022,CO,475367,73,0.5593,0.1653,0.7918,0.0362,0.1205,163.0908,806.6021,299.5138
2022,OR,470702,74,0.5637,0.1887,0.8848,0.0151,0.0333,147.5201,480.3527,302.9815
2022,SC,470206,71,0.5673,0.2724,0.635,0.3238,0.0182,218.5638,635.4172,415.6859
2022,KY,457481,71,0.5627,0.2293,0.8955,0.0793,0.0078,223.8782,812.6523,379.8103
2022,LA,451416,71,0.5571,0.3529,0.5935,0.3492,0.0305,211.3572,541.7309,424.6017
2022,MA,428104,73,0.568,0.3182,0.7431,0.0613,0.0967,230.8131,3237.767,392.0496
2022,CT,362846,73,0.5662,0.3319,0.7623,0.0897,0.0843,195.2068,1243.4697,379.7947
2022,OK,265393,71,0.561,0.2338,0.795,0.0948,0.0331,235.123,523.7403,427.4529
2022,NV,264952,73,0.554,0.1624,0.6462,0.1,0.1382,215.1899,747.1429,353.1017
2022,AR,243308,69,0.5583,0.3469,0.7712,0.187,0.0215,236.3465,559.8377,418.2805
2022,MS,209796,69,0.5614,0.4111,0.4852,0.4933,0.0094,212.3348,569.477,427.2817
2022,WV,207450,72,0.5475,0.2259,0.9505,0.0311,0.0048,216.5582,574.5192,384.0685
2022,IA,205367,72,0.5483,0.2179,0.9158,0.0331,0.0212,171.678,717.5496,290.6699
2022,NM,203423,72,0.557,0.3169,0.5264,0.0184,0.3917,170.9885,563.3483,324.5896
2022,UT,202927,72,0.5464,0.1235,0.8847,0.0068,0.0603,137.8575,594.6621,256.8017
2022,MD,200619,73,0.5804,0.2021,0.4811,0.3953,0.0428,189.7178,810.0728,340.9448
2022,ME,186711,72,0.5485,0.2661,0.9504,0.0039,0.0056,131.4277,505.4603,296.667
2022,ID,161917,72,0.5511,0.1766,0.9131,0.0031,0.0471,135.2421,512.8801,250.0479
2022,KS,161066,72,0.5516,0.2173,0.8192,0.0911,0.0485,212.416,821.2286,366.5268
2022,HI,151441,74,0.5589,0.2613,0.2867,0.0096,0.0789,156.0212,744.2436,301.1536
2022,RI,125363,72,0.5746,0.2735,0.8147,0.0394,0.0934,208.3709,1242.3522,335.6333
2022,NE,103111,72,0.5523,0.1965,0.8536,0.0642,0.0433,175.248,909.1077,270.1167
2022,NH,94849,72,0.5533,0.1302,0.9331,0.0073,0.0152,166.5384,585.1828,318.3692
2022,MT,62932,73,0.5396,0.1464,0.9358,0.0023,0.0164,149.304,379.9657,247.9502
2022,DE,60842,72,0.556,0.2349,0.6622,0.255,0.0387,209.6578,577.6766,385.9834
2022,SD,55585,74,0.5466,0.1149,0.9478,0.0054,0.0084,78.5824,295.6553,104.1288
2022,VT,42367,73,0.5543,0.1534,0.934,0.0055,0.0066,150.3765,517.0534,302.0511
2022,ND,37446,74,0.5442,0.1016,0.9534,0.0066,0.0077,70.3146,304.0378,98.0879
2022,DC,25206,72,0.5942,0.6116,0.1338,0.7833,0.0476,259.1446,1095.1361,556.8912
2022,WY,9633,73,0.5271,0.1269,0.9029,0.0064,0.0527,170.3519,572.7188,279.8713
2022,VI,5692,76,0.6272,,0.0755,0.8117,0.0884,140.5481,305.5165,294.097
2022,AK,2388,74,0.4904,0.0858,0.8488,0.0285,0.0348,167.5042,459.799,314.0704
