AMGPO_Name,total_amount,transactions,year
BIONTECH SE,367863408.33000004,200,2023
ABBVIE INC.,187215982.68,1772764,2023
"ZIMMER BIOMET HOLDINGS, INC.",128468493.69999999,30992,2023
STRYKER CORPORATION,119260408.25999999,147532,2023
"MEDTRONIC, INC.",117598975.88,335830,2023
"ARTHREX, INC.",114714930.87000002,47935,2023
"INTUITIVE SURGICAL, INC.",70896824.33,102436,2023
"DEPUY SYNTHES PRODUCTS, INC.",58988306.949999996,1993,2023
"GENENTECH, INC.",58363768.68,3320,2023
ASTRAZENECA PHARMACEUTICALS LP,57247929.3,464707,2023
"TAKEDA PHARMACEUTICALS U.S.A., INC.",55483057.019999996,145802,2023
GENZYME CORPORATION,46681390.51,162589,2023
BOSTON SCIENTIFIC CORPORATION,46413863.620000005,231708,2023
ABBOTT LABORATORIES,42370529.79,317207,2023
"SMITH+NEPHEW, INC.",41400864.31,68433,2023
"LILLY USA, LLC",38877868.38,507239,2023
PFIZER INC.,36722299.64,514926,2023
"GILEAD SCIENCES, INC.",36066174.67,111663,2023
"GLAXOSMITHKLINE, LLC.",35368479.75,438886,2023
"E.R. SQUIBB & SONS, L.L.C.",30830806.69,207084,2023
ASTRAZENECA UK LIMITED,27518344.599999998,2521,2023
AMGEN INC.,26813868.25,376214,2023
"JANSSEN BIOTECH, INC.",23103222.51,257803,2023
"ENCORE MEDICAL, LP",22461858.81,5459,2023
"ATRICURE, INC.",22418636.729999997,25162,2023
MERCK SHARP & DOHME LLC,22268979.34,243909,2023
NOVO NORDISK INC,22018872.13,485788,2023
"REGENERON HEALTHCARE SOLUTIONS, INC.",21727879.27,149667,2023
"MEDICAL DEVICE BUSINESS SERVICES, INC.",20145871.6,26304,2023
"NUVASIVE, INC.",19682765.28,12833,2023
"LIVANOVA USA, INC.",18054445.490000002,7897,2023
"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",17556185.68,205950,2023
"ALIGN TECHNOLOGY, INC.",17089930.27,55681,2023
HORIZON THERAPEUTICS PLC,17064066.32,70794,2023
"GLOBUS MEDICAL, INC.",16424192.85,17458,2023
EDWARDS LIFESCIENCES CORPORATION,16328000.5,63237,2023
NOVARTIS PHARMACEUTICALS CORPORATION,16163671.64,378102,2023
"SIEMENS MEDICAL SOLUTIONS USA, INC.",15930282.18,10976,2023
"JANSSEN PHARMACEUTICALS, INC",15903804.48,209095,2023
CSL PLASMA INC.,15772621.77,11752,2023
ZIMVIE INC.,15739468.28,47628,2023
"NEUROCRINE BIOSCIENCES, INC.",15684940.88,85346,2023
INCYTE CORPORATION,14516991.219999999,72085,2023
"ANGIODYNAMICS, INC.",14458798.21,12252,2023
"GALDERMA LABORATORIES, L.P.",14335829.51,45682,2023
"OTSUKA AMERICA PHARMACEUTICAL, INC.",13853960.85,180251,2023
"ALPHATEC SPINE, INC",13110979.4,6156,2023
ALCON VISION LLC,13085175.280000001,94552,2023
"ALKERMES, INC.",13030943.1,95097,2023
"BIOGEN, INC.",12677569.22,33937,2023
"TEVA PHARMACEUTICALS USA, INC.",12340813.81,135847,2023
DENTSPLY SIRONA INC,12024378.77,48588,2023
BAYER HEALTHCARE PHARMACEUTICALS INC.,11764214.03,186501,2023
"TREACE MEDICAL CONCEPTS, INC.",11451653.67,9143,2023
"EMD SERONO, INC.",11082785.63,36691,2023
"ALEXION PHARMACEUTICALS, INC.",10805436.72,40042,2023
ASTELLAS PHARMA US INC,9845534.13,134284,2023
"REGENERON PHARMACEUTICALS, INC.",9736469.620000001,4809,2023
"ITI, INC. (D/B/A INTRA-CELLULAR THERAPIES, INC.)",9557854.51,112407,2023
"GENENTECH USA, INC.",9540660.65,55100,2023
CELGENE CORPORATION,9203530.1,103403,2023
SANOFI-AVENTIS U.S. LLC,9126771.57,48159,2023
"ORTHOFIX MEDICAL, INC.",9092765.56,12353,2023
JAZZ PHARMACEUTICALS INC.,8788712.91,33408,2023
ASKLEPIOS BIOPHARMACEUTICAL INC.,8753052.23,11,2023
"AXSOME THERAPEUTICS, INC.",8747928.2,72869,2023
ABIOMED,8592146.129999999,32966,2023
BAUSCH & LOMB AMERICAS INC.,8476264.030000001,64473,2023
VIIV HEALTHCARE COMPANY,8113651.13,53391,2023
"EXACTECH, INC.",7978363.26,2966,2023
ADVANCED ACCELERATOR APPLICATIONS,7896689.93,257,2023
COOK INCORPORATED,7795073.13,1076,2023
"UCB, INC.",7495775.12,107717,2023
STRAUMANN USA LLC,7127694.79,35796,2023
SUN PHARMACEUTICAL INDUSTRIES INC.,6768219.87,85629,2023
"INARI MEDICAL, INC.",6743084.359999999,38025,2023
SEAGEN INC.,6601067.78,32430,2023
"DERMAVANT SCIENCES, INC.",6537745.850000001,58327,2023
"KCI USA, INC.",6309329.08,10916,2023
PHILIPS NORTH AMERICA LLC,6237175.87,32332,2023
"MEDACTA USA, INC.",6225608.0600000005,4382,2023
"BECKMAN COULTER, INC.",6203110.28,375,2023
"JANSSEN SCIENTIFIC AFFAIRS, LLC",6180045.6,7880,2023
"SI-BONE, INC.",6151338.720000001,11932,2023
ALNYLAM PHARMACEUTICALS INC.,6045946.44,18951,2023
GE HEALTHCARE,5965321.17,7231,2023
"W. L. GORE & ASSOCIATES, INC.",5637539.68,22856,2023
TELEFLEX LLC,5631339.13,17211,2023
PACIRA PHARMACEUTICALS INCORPORATED,5600440.44,17715,2023
MALLINCKRODT HOSPITAL PRODUCTS INC.,5578715.44,35638,2023
ELI LILLY AND COMPANY,5561486.88,6304,2023
"SUMITOMO PHARMA AMERICA, INC.",5478689.949999999,121343,2023
"SHOCKWAVE MEDICAL, INC",5248678.57,17758,2023
"SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC",5139901.38,187019,2023
"PENUMBRA, INC.",5031143.67,18458,2023
"OMNIA MEDICAL, LLC",4981183.28,27,2023
IDORSIA PHARMACEUTICALS US INC,4934510.02,76220,2023
"ACTELION PHARMACEUTICALS US, INC.",4902778.78,29820,2023
"WALK VASCULAR, LLC",4846659.06,2,2023
EISAI INC.,4812298.59,31886,2023
