brand,generic,spend_2023,claims_2023,price_per_unit_2023,price_cagr_19_23
Eliquis,Apixaban,18273451967.0,21195452,9.7447,0.0693
Ozempic,Semaglutide,9194048435.0,6927972,355.9027,-0.0419
Jardiance,Empagliflozin,8839935063.0,8153238,20.318,0.055
Trulicity,Dulaglutide,7363856224.0,5316020,483.2053,0.0609
Xarelto,Rivaroxaban,6309246823.0,6654162,18.2258,0.0526
Trelegy Ellipta,Fluticasone/Umeclidin/Vilanter,4455884010.0,5009961,11.1795,0.0485
Humira(Cf) Pen,Adalimumab,4419828188.0,478808,3750.0635,0.0921
Farxiga,Dapagliflozin Propanediol,4342182307.0,4298827,19.5479,0.0452
Januvia,Sitagliptin Phosphate,4090836821.0,4029094,18.8803,0.059
Revlimid,Lenalidomide,3859804789.0,216207,878.2122,0.0418
Entresto,Sacubitril/Valsartan,3430441590.0,3200200,11.6419,0.0808
Lantus Solostar,"Insulin Glargine,Hum.Rec.Anlog",3157233282.0,4936965,30.2786,0.0168
