payer_type,year,metric,integrated_systems,value_based_payments,total_spend,ffs_spend,apm_spend,pct_ffs,pct_apm,source_id
1 Commercial,2022,Primary Care Spending,No,Excluded,278259014.232,219425155.092,58833859.14,0.788564408946885,0.211435591053114,civhc_apm_fy26
1 Commercial,2022,Primary Care Spending,No,Included,278259014.232,219425155.092,58833859.14,0.788564408946885,0.211435591053114,civhc_apm_fy26
1 Commercial,2022,Primary Care Spending,Yes,Excluded,642538406.552,230656328.772,411882077.78,0.358976718620995,0.641023281379004,civhc_apm_fy26
1 Commercial,2022,Primary Care Spending,Yes,Included,642538406.552,230656328.772,411861927.19,0.358976718620995,0.640991920467665,civhc_apm_fy26
1 Commercial,2022,Total Medical Spending,No,Excluded,5302292142.73,4742802693.24,559489449.49,0.894481587504166,0.105518412495833,civhc_apm_fy26
1 Commercial,2022,Total Medical Spending,No,Included,5302292142.73,4742802693.24,556614860.07,0.894481587504166,0.104976271598534,civhc_apm_fy26
1 Commercial,2022,Total Medical Spending,Yes,Excluded,7467157253.04,5556771984.52,1910385268.52,0.744161639592864,0.255838360407135,civhc_apm_fy26
1 Commercial,2022,Total Medical Spending,Yes,Included,7467157253.04,5556771984.52,1872711530.02,0.744161639592864,0.250793101920759,civhc_apm_fy26
1 Commercial,2023,Primary Care Spending,No,Excluded,287880919.714,233618136.224,54262783.49,0.811509621603584,0.188490378396415,civhc_apm_fy26
1 Commercial,2023,Primary Care Spending,No,Included,287880919.714,233618136.224,54262783.49,0.811509621603584,0.188490378396415,civhc_apm_fy26
1 Commercial,2023,Primary Care Spending,Yes,Excluded,638740421.164,244970873.994,393769547.17,0.383521796769305,0.616478203230694,civhc_apm_fy26
1 Commercial,2023,Primary Care Spending,Yes,Included,638740421.164,244970873.994,393758867.91,0.383521796769305,0.616461483981926,civhc_apm_fy26
1 Commercial,2023,Total Medical Spending,No,Excluded,5696016825.8,5044294362.95,651722462.85,0.885582770770964,0.114417229229035,civhc_apm_fy26
1 Commercial,2023,Total Medical Spending,No,Included,5696016825.8,5044294362.95,648503980.7,0.885582770770964,0.113852188385858,civhc_apm_fy26
1 Commercial,2023,Total Medical Spending,Yes,Excluded,7839909744.19,5873861058.4,1966048685.79,0.749225596985092,0.250774403014907,civhc_apm_fy26
1 Commercial,2023,Total Medical Spending,Yes,Included,7839909744.19,5873861058.4,1940804518.0,0.749225596985092,0.247554446585088,civhc_apm_fy26
1 Commercial,2024,Primary Care Spending,No,Excluded,301294647.406,249564436.596,51730210.81,0.828306904037718,0.171693095962281,civhc_apm_fy26
1 Commercial,2024,Primary Care Spending,No,Included,301294647.406,249564436.596,51730210.81,0.828306904037718,0.171693095962281,civhc_apm_fy26
1 Commercial,2024,Primary Care Spending,Yes,Excluded,661316464.616,263127507.226,398188957.39,0.397884403768455,0.602115596231544,civhc_apm_fy26
1 Commercial,2024,Primary Care Spending,Yes,Included,661316464.616,263127507.226,398188957.39,0.397884403768455,0.602115596231544,civhc_apm_fy26
1 Commercial,2024,Total Medical Spending,No,Excluded,6242417455.6,5629607845.48,612809610.12,0.9018313634936,0.0981686365063995,civhc_apm_fy26
1 Commercial,2024,Total Medical Spending,No,Included,6242417455.6,5629607845.48,609143218.12,0.9018313634936,0.0975813012270662,civhc_apm_fy26
1 Commercial,2024,Total Medical Spending,Yes,Excluded,8477940874.75,6543255935.85,1934684938.9,0.771797778790589,0.22820222120941,civhc_apm_fy26
1 Commercial,2024,Total Medical Spending,Yes,Included,8477940874.75,6543255935.85,1931018546.9,0.771797778790589,0.227769758651087,civhc_apm_fy26
2 Medicare Advantage,2022,Primary Care Spending,No,Excluded,626659914.4,87056051.58,539603862.82,0.138920728100747,0.861079271899252,civhc_apm_fy26
2 Medicare Advantage,2022,Primary Care Spending,No,Included,626659914.4,87056051.58,65957579.23,0.138920728100747,0.105252590303548,civhc_apm_fy26
