outpatient_category,year,payer_type,doi_region,total_spend,member_months,pppy,source_id
Surgery,2017,All,All,1539123224.85678,41677695,443.1501957649376,civhc_coc_fy23_outpatient
Surgery,2017,All,Boulder,71241596.2316636,2225082,384.2101795708936,civhc_coc_fy23_outpatient
Surgery,2017,All,Colorado Springs,147841349.23236,5178956,342.55865289998985,civhc_coc_fy23_outpatient
Surgery,2017,All,Denver,639150830.695616,21251713,360.9031407655182,civhc_coc_fy23_outpatient
Surgery,2017,All,East,119043954.993013,2363553,604.398318936007,civhc_coc_fy23_outpatient
Surgery,2017,All,Ft. Collins,103309693.706689,2431050,509.9509777586919,civhc_coc_fy23_outpatient
Surgery,2017,All,Grand Junction,43251077.9742032,1291941,401.73114382966276,civhc_coc_fy23_outpatient
Surgery,2017,All,Greeley,105001672.307016,2391075,526.968023873861,civhc_coc_fy23_outpatient
Surgery,2017,All,Pueblo,57526330.4889328,1586629,435.08341639235994,civhc_coc_fy23_outpatient
Surgery,2017,All,West,203088595.799238,3246628,750.6444069326254,civhc_coc_fy23_outpatient
Surgery,2017,CHP+,All,14983818.46,852567,210.89934459109958,civhc_coc_fy23_outpatient
Surgery,2017,CHP+,Boulder,540782.84,32171,201.71564701128347,civhc_coc_fy23_outpatient
Surgery,2017,CHP+,Colorado Springs,959154.17,84469,136.26123240478756,civhc_coc_fy23_outpatient
Surgery,2017,CHP+,Denver,8449408.4,412197,245.98165634393263,civhc_coc_fy23_outpatient
Surgery,2017,CHP+,East,561356.08,56591,119.03435104521918,civhc_coc_fy23_outpatient
Surgery,2017,CHP+,Ft. Collins,598316.97,49471,145.13156475510905,civhc_coc_fy23_outpatient
Surgery,2017,CHP+,Grand Junction,202226.47,28847,84.12374389017921,civhc_coc_fy23_outpatient
Surgery,2017,CHP+,Greeley,1259665.6,68907,219.36794810396623,civhc_coc_fy23_outpatient
Surgery,2017,CHP+,Pueblo,257964.29,19210,161.1437522123894,civhc_coc_fy23_outpatient
Surgery,2017,CHP+,West,1868129.03,100850,222.2860521566683,civhc_coc_fy23_outpatient
Surgery,2017,Commercial,All,817771160.12,16717736,586.996583834079,civhc_coc_fy23_outpatient
Surgery,2017,Commercial,Boulder,41121570.79,1120740,440.29734771668717,civhc_coc_fy23_outpatient
Surgery,2017,Commercial,Colorado Springs,66824971.83,1613226,497.07831510278163,civhc_coc_fy23_outpatient
Surgery,2017,Commercial,Denver,339235862.23,9416701,432.29899162774734,civhc_coc_fy23_outpatient
Surgery,2017,Commercial,East,53506768.49,648282,990.4350604829381,civhc_coc_fy23_outpatient
Surgery,2017,Commercial,Ft. Collins,60115396.66,1028084,701.6788121593177,civhc_coc_fy23_outpatient
Surgery,2017,Commercial,Grand Junction,20621881.82,378602,653.6219614265112,civhc_coc_fy23_outpatient
Surgery,2017,Commercial,Greeley,57152620.26,922904,743.1232751402096,civhc_coc_fy23_outpatient
Surgery,2017,Commercial,Pueblo,22611464.68,371176,731.0213380175442,civhc_coc_fy23_outpatient
Surgery,2017,Commercial,West,124241008.68,1228218,1213.8660271710723,civhc_coc_fy23_outpatient
Surgery,2017,Medicaid,All,271004921.948518,16665330,195.13919396628904,civhc_coc_fy23_outpatient
Surgery,2017,Medicaid,Boulder,8200236.45166366,645600,152.42075188965913,civhc_coc_fy23_outpatient
Surgery,2017,Medicaid,Colorado Springs,31786453.1423609,2509314,152.0086516507423,civhc_coc_fy23_outpatient
Surgery,2017,Medicaid,Denver,119273297.127353,7987709,179.18524141631048,civhc_coc_fy23_outpatient
Surgery,2017,Medicaid,East,22924859.9530136,1140037,241.3064834177866,civhc_coc_fy23_outpatient
Surgery,2017,Medicaid,Ft. Collins,12129088.8566898,823913,176.65586813204501,civhc_coc_fy23_outpatient
Surgery,2017,Medicaid,Grand Junction,11609027.0642032,596849,233.4063134401472,civhc_coc_fy23_outpatient
Surgery,2017,Medicaid,Greeley,17683645.3970168,1009606,210.18471043575576,civhc_coc_fy23_outpatient
Surgery,2017,Medicaid,Pueblo,13658879.6189328,880092,186.2379790149139,civhc_coc_fy23_outpatient
Surgery,2017,Medicaid,West,31310151.6892387,1272091,295.35765937410486,civhc_coc_fy23_outpatient
Surgery,2017,Medicare,All,290677605.11,6357594,548.6558690787741,civhc_coc_fy23_outpatient
Surgery,2017,Medicare,Boulder,14036592.25,334811,503.0871357273208,civhc_coc_fy23_outpatient
Surgery,2017,Medicare,Colorado Springs,35034903.04,872471,481.87141633360875,civhc_coc_fy23_outpatient
Surgery,2017,Medicare,Denver,95779121.02,2432356,472.52517815648696,civhc_coc_fy23_outpatient
Surgery,2017,Medicare,East,37403636.34,605465,741.3205322851034,civhc_coc_fy23_outpatient
Surgery,2017,Medicare,Ft. Collins,21168039.89,466938,544.0047258522545,civhc_coc_fy23_outpatient
Surgery,2017,Medicare,Grand Junction,9269754.02,253192,439.33871623116056,civhc_coc_fy23_outpatient
Surgery,2017,Medicare,Greeley,19736413.76,354011,669.0101864631326,civhc_coc_fy23_outpatient
Surgery,2017,Medicare,Pueblo,14227443.95,279738,610.31868176651,civhc_coc_fy23_outpatient
Surgery,2017,Medicare,West,43681162.14,758887,690.7140927173612,civhc_coc_fy23_outpatient
Surgery,2017,Medicare Advantage,All,144685719.218262,3637692,477.2885199239363,civhc_coc_fy23_outpatient
Surgery,2017,Medicare Advantage,Boulder,7342413.9,199077,442.5873747343993,civhc_coc_fy23_outpatient
Surgery,2017,Medicare Advantage,Colorado Springs,13235867.05,390558,406.6755887729863,civhc_coc_fy23_outpatient
Surgery,2017,Medicare Advantage,Denver,76413141.9182625,2203028,416.2260774802454,civhc_coc_fy23_outpatient
Surgery,2017,Medicare Advantage,East,4647334.13,108146,515.6733449226047,civhc_coc_fy23_outpatient
Surgery,2017,Medicare Advantage,Ft. Collins,9298851.33,196146,568.8936606405432,civhc_coc_fy23_outpatient
Surgery,2017,Medicare Advantage,Grand Junction,1548188.6,109095,170.29435996150144,civhc_coc_fy23_outpatient
Surgery,2017,Medicare Advantage,Greeley,9169327.29,184830,595.3142210680085,civhc_coc_fy23_outpatient
Surgery,2017,Medicare Advantage,Pueblo,6770577.95,152179,533.8905854290015,civhc_coc_fy23_outpatient
Surgery,2017,Medicare Advantage,West,1988144.26,101963,233.98420132793268,civhc_coc_fy23_outpatient
Surgery,2018,All,All,1708153350.8347,41441192,494.6247735831634,civhc_coc_fy23_outpatient
Surgery,2018,All,Boulder,84023122.8775353,2194501,459.45637506222306,civhc_coc_fy23_outpatient
Surgery,2018,All,Colorado Springs,172191040.822645,5100024,405.1534835663009,civhc_coc_fy23_outpatient
Surgery,2018,All,Denver,724426251.062544,21186043,410.32273052360597,civhc_coc_fy23_outpatient
Surgery,2018,All,East,128395060.464339,2326445,662.2725770744926,civhc_coc_fy23_outpatient
Surgery,2018,All,Ft. Collins,116567739.727417,2430217,575.5917585668292,civhc_coc_fy23_outpatient
Surgery,2018,All,Grand Junction,47242545.5775482,1276220,444.21067443746256,civhc_coc_fy23_outpatient
Surgery,2018,All,Greeley,124685089.194062,2379880,628.6960142228784,civhc_coc_fy23_outpatient
Surgery,2018,All,Pueblo,65483421.0659217,1564092,502.4007876717357,civhc_coc_fy23_outpatient
Surgery,2018,All,West,217141391.498652,3188344,817.2570770230013,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,All,15298951.7940245,988156,185.78789333697716,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,Boulder,690900.0,36488,227.21990791493096,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,Colorado Springs,1299553.15,107031,145.70206575664992,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,Denver,8570583.2,476145,215.99932457549693,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,East,629245.57,63444,119.01750898430112,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,Ft. Collins,548528.75,55405,118.80416929879976,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,Grand Junction,252262.13,32491,93.16874088209042,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,Greeley,1395139.52,81122,206.37649762086735,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,Pueblo,152110.45,25445,71.73611318530163,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,West,1514972.54402451,110694,164.23356756729473,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,All,864853258.16,16722956,620.5983617920181,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,Boulder,46664693.69,1103603,507.40739584796336,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,Colorado Springs,72762120.53,1538355,567.583845315288,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,Denver,374683979.97,9558159,470.4052066553821,civhc_coc_fy23_outpatient
