year,payer_type,category,doi_region,claim_type,total_spend,member_months,pppy,source_id
2017,All,Medical,All,Professional,6460409702.7,41677695,1860.105661611085,civhc_coc_fy23_total
2017,All,Medical,All,Outpatient,5603218716.86895,41677695,1613.299982218964,civhc_coc_fy23_total
2017,All,Medical,All,Long Term Care,1794991786.29018,41677695,516.820842311029,civhc_coc_fy23_total
2017,All,Medical,All,Inpatient,5066097176.90702,41677695,1458.6499114906483,civhc_coc_fy23_total
2017,All,Medical,All,DME,184594802.949557,41677695,53.14923570976475,civhc_coc_fy23_total
2017,All,Medical,Boulder,Professional,365406879.18,2225082,1970.6611037975229,civhc_coc_fy23_total
2017,All,Medical,Boulder,Outpatient,241419195.69465,2225082,1301.988128228892,civhc_coc_fy23_total
2017,All,Medical,Boulder,Long Term Care,92859513.1467908,2225082,500.79689546789274,civhc_coc_fy23_total
2017,All,Medical,Boulder,Inpatient,218337624.912053,2225082,1177.507839686194,civhc_coc_fy23_total
2017,All,Medical,Boulder,DME,6952555.32128915,2225082,37.495545717177976,civhc_coc_fy23_total
2017,All,Medical,Colorado Springs,Outpatient,590343528.534447,5178956,1367.8668717041355,civhc_coc_fy23_total
2017,All,Medical,Colorado Springs,Professional,780174331.51,5178956,1807.7179991720336,civhc_coc_fy23_total
2017,All,Medical,Colorado Springs,Long Term Care,249934046.060912,5178956,579.1145073893164,civhc_coc_fy23_total
2017,All,Medical,Colorado Springs,Inpatient,512040488.7083,5178956,1186.4333013255182,civhc_coc_fy23_total
2017,All,Medical,Colorado Springs,DME,24656830.6802187,5178956,57.1315856250998,civhc_coc_fy23_total
2017,All,Medical,Denver,Professional,3411769586.81,21251713,1926.4910570606708,civhc_coc_fy23_total
2017,All,Medical,Denver,Outpatient,2528573920.97666,21251713,1427.7854708333355,civhc_coc_fy23_total
2017,All,Medical,Denver,Long Term Care,805640992.038841,21251713,454.91353588607626,civhc_coc_fy23_total
2017,All,Medical,Denver,Inpatient,2564906111.15102,21251713,1448.3008185651784,civhc_coc_fy23_total
2017,All,Medical,Denver,DME,82693073.4952188,21251713,46.693500987079275,civhc_coc_fy23_total
2017,All,Medical,East,Inpatient,385719396.524443,2363553,1958.3367744634097,civhc_coc_fy23_total
2017,All,Medical,East,Outpatient,480123499.380329,2363553,2437.63604732534,civhc_coc_fy23_total
2017,All,Medical,East,DME,16705974.69,2363553,84.81793988964918,civhc_coc_fy23_total
2017,All,Medical,East,Professional,326765624.09,2363553,1659.0224501333373,civhc_coc_fy23_total
2017,All,Medical,East,Long Term Care,142806660.868657,2363553,725.044003846702,civhc_coc_fy23_total
2017,All,Medical,Ft. Collins,Outpatient,379889850.350884,2431050,1875.188994142699,civhc_coc_fy23_total
2017,All,Medical,Ft. Collins,Long Term Care,88300698.1217278,2431050,435.86449372112196,civhc_coc_fy23_total
2017,All,Medical,Ft. Collins,Inpatient,302094999.736812,2431050,1491.1828209381724,civhc_coc_fy23_total
2017,All,Medical,Ft. Collins,DME,9684471.55,2431050,47.80389486024558,civhc_coc_fy23_total
2017,All,Medical,Ft. Collins,Professional,356316062.97,2431050,1758.825509816746,civhc_coc_fy23_total
2017,All,Medical,Grand Junction,Professional,179291271.96,1291941,1665.3200599098566,civhc_coc_fy23_total
2017,All,Medical,Grand Junction,Outpatient,176632730.918233,1291941,1640.6266006100868,civhc_coc_fy23_total
2017,All,Medical,Grand Junction,Long Term Care,89481398.4389087,1291941,831.1345342139497,civhc_coc_fy23_total
2017,All,Medical,Grand Junction,Inpatient,146639521.679888,1291941,1362.039179930551,civhc_coc_fy23_total
2017,All,Medical,Grand Junction,DME,6680021.71084164,1291941,62.04637868919686,civhc_coc_fy23_total
2017,All,Medical,Greeley,Long Term Care,83048436.89,2391075,416.79213018412224,civhc_coc_fy23_total
2017,All,Medical,Greeley,Inpatient,282370773.058917,2391075,1417.1237944050285,civhc_coc_fy23_total
2017,All,Medical,Greeley,DME,10585977.0179128,2391075,53.12745280468141,civhc_coc_fy23_total
2017,All,Medical,Greeley,Outpatient,348294959.128263,2391075,1747.9750779624878,civhc_coc_fy23_total
2017,All,Medical,Greeley,Professional,333382175.48,2391075,1673.1328401493056,civhc_coc_fy23_total
2017,All,Medical,Pueblo,Long Term Care,140443857.856926,1586629,1062.2056538000452,civhc_coc_fy23_total
2017,All,Medical,Pueblo,DME,10510108.2760778,1586629,79.49010090760575,civhc_coc_fy23_total
2017,All,Medical,Pueblo,Inpatient,213631158.348813,1586629,1615.7361930140921,civhc_coc_fy23_total
2017,All,Medical,Pueblo,Outpatient,219041224.574751,1586629,1656.6536316284473,civhc_coc_fy23_total
2017,All,Medical,Pueblo,Professional,260125493.29,1586629,1967.3823682032785,civhc_coc_fy23_total
2017,All,Medical,West,Professional,447178277.41,3246628,1652.8346730577082,civhc_coc_fy23_total
2017,All,Medical,West,DME,16125790.2079988,3246628,59.603219862572985,civhc_coc_fy23_total
2017,All,Medical,West,Inpatient,440357102.786777,3246628,1627.6226390708525,civhc_coc_fy23_total
2017,All,Medical,West,Long Term Care,102476182.867415,3246628,378.7665831776785,civhc_coc_fy23_total
2017,All,Medical,West,Outpatient,638899807.31073,3246628,2361.464783685953,civhc_coc_fy23_total
2017,All,Pharmacy,All,Pharmacy,3973304802.0114,37617866,1267.4737483550184,civhc_coc_fy23_total
2017,All,Pharmacy,Boulder,Pharmacy,207640008.93,1987700,1253.5493822810283,civhc_coc_fy23_total
2017,All,Pharmacy,Colorado Springs,Pharmacy,481133656.03,4458878,1294.8557624496566,civhc_coc_fy23_total
2017,All,Pharmacy,Denver,Pharmacy,1993438174.8114,19738747,1211.8934447934714,civhc_coc_fy23_total
2017,All,Pharmacy,East,Pharmacy,234014275.43,2059066,1363.808301997119,civhc_coc_fy23_total
2017,All,Pharmacy,Ft. Collins,Pharmacy,233174570.9,2106572,1328.2692691253847,civhc_coc_fy23_total
2017,All,Pharmacy,Grand Junction,Pharmacy,140655186.24,1098275,1536.8302427716194,civhc_coc_fy23_total
2017,All,Pharmacy,Greeley,Pharmacy,233631037.06,2143283,1308.073849659611,civhc_coc_fy23_total
2017,All,Pharmacy,Pueblo,Pharmacy,187456662.01,1436884,1565.526475428775,civhc_coc_fy23_total
2017,All,Pharmacy,West,Pharmacy,262161230.6,2674165,1176.4175984653155,civhc_coc_fy23_total
2017,CHP+,Medical,All,Professional,51318333.09,852567,722.3127297678658,civhc_coc_fy23_total
2017,CHP+,Medical,All,DME,384128.65,852567,5.406664578854214,civhc_coc_fy23_total
2017,CHP+,Medical,All,Inpatient,21678751.48,852567,305.1314650461489,civhc_coc_fy23_total
2017,CHP+,Medical,All,Outpatient,44568437.6904939,852567,627.3070061190813,civhc_coc_fy23_total
2017,CHP+,Medical,Boulder,Outpatient,1482022.50077579,32171,552.8043893354102,civhc_coc_fy23_total
2017,CHP+,Medical,Boulder,Inpatient,929138.76,32171,346.57502471169687,civhc_coc_fy23_total
2017,CHP+,Medical,Boulder,DME,27854.23,32171,10.389815672500077,civhc_coc_fy23_total
