organization_name,claim_type,year,county,urban_rural,doi_region,cah_flag,amb_flag,hospital_pct_medicare,claims,urf_pct_medicare,payer_min,payer_median,payer_max,source_id
Aberdeen Ambulatory Surgical Center,Outpatient,2021,Pueblo,Urban,Pueblo,0,1,1.3069,112,3.2958,3.2958,2.4991,0.0013,civhc_rbp_fy26
AdventHealth Avista,Outpatient,2023,Boulder,Urban,Boulder,0,0,2.8104,9190,2.2475,2.2475,2.4647,0.0355,civhc_rbp_fy26
AdventHealth Parker,Inpatient/Outpatient Combined,2023,Douglas,Urban,Denver,0,0,2.5177,11849,2.1927,2.2619,2.3251,0.1418,civhc_rbp_fy26
AdventHealth Porter,Inpatient,2023,Denver,Urban,Denver,0,0,1.9373,890,1.941,1.6885,1.9517,0.0101,civhc_rbp_fy26
AdventHealth Porter,Outpatient,2023,Denver,Urban,Denver,0,0,2.3925,12090,2.2485,1.722,2.4647,0.0549,civhc_rbp_fy26
Animas Surgical Hospital,Inpatient/Outpatient Combined,2023,La Plata,Rural,West,0,0,2.4986,1655,2.5901,2.6492,2.4878,0.0028,civhc_rbp_fy26
Ascent Surgery Center,Outpatient,2021,El Paso,Urban,Colorado Springs,0,1,0.9964,318,2.5464,2.5524,2.4991,0.0013,civhc_rbp_fy26
Aspen Valley Hospital District,Inpatient,2021,Pitkin,Rural,West,1,0,0.5318,156,1.5537,0.5318,1.5263,0.36,civhc_rbp_fy26
Aspen Valley Hospital District,Inpatient,2022,Pitkin,Rural,West,1,0,0.6373,178,1.6768,0.6373,1.6034,0.2475,civhc_rbp_fy26
Aspen Valley Hospital District,Inpatient,2024,Pitkin,Rural,West,1,0,0.937,131,1.5961,0.937,1.5378,0.0004,civhc_rbp_fy26
Banner Fort Collins Medical Center,Inpatient,2022,Larimer,Urban,Ft. Collins,0,0,1.1288,435,2.2229,2.2229,1.99,0.0009,civhc_rbp_fy26
Banner Fort Collins Medical Center,Outpatient,2022,Larimer,Urban,Ft. Collins,0,0,3.0341,3147,2.9914,2.9914,2.528,0.0372,civhc_rbp_fy26
Banner McKee Medical Center,Outpatient,2021,Larimer,Urban,Ft. Collins,0,0,2.5569,5125,2.9767,2.9767,2.4991,0.7875,civhc_rbp_fy26
