provider_type,enrolled_count
PRACTITIONER - NURSE PRACTITIONER,413539
PART B SUPPLIER - CLINIC/GROUP PRACTICE,239492
PRACTITIONER - PHYSICIAN ASSISTANT,195488
PRACTITIONER - INTERNAL MEDICINE,144202
PRACTITIONER - FAMILY PRACTICE,129130
PRACTITIONER - PHYSICAL THERAPIST IN PRIVATE PRACTICE,126499
PRACTITIONER - CLINICAL SOCIAL WORKER,104360
PRACTITIONER - EMERGENCY MEDICINE,84525
PRACTITIONER - CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),80443
PRACTITIONER - MENTAL HEALTH COUNSELOR,68633
PRACTITIONER - DIAGNOSTIC RADIOLOGY,66030
PRACTITIONER - ANESTHESIOLOGY,62622
PRACTITIONER - PEDIATRIC MEDICINE,60271
PRACTITIONER - OPTOMETRY,50717
PRACTITIONER - OBSTETRICS/GYNECOLOGY,49583
PRACTITIONER - CHIROPRACTIC,47169
PRACTITIONER - PSYCHIATRY,46310
DME SUPPLIER - PHARMACY,40842
PRACTITIONER - CLINICAL PSYCHOLOGIST,38882
ORDER AND REFERRING ONLY - DENTIST,37192
ORDER AND REFERRING ONLY - INTERNAL MEDICINE,34105
PRACTITIONER - GENERAL SURGERY,32857
PRACTITIONER - NEUROLOGY,31505
PRACTITIONER - ORTHOPEDIC SURGERY,31402
PRACTITIONER - HOSPITALIST,31283
PRACTITIONER - CARDIOVASCULAR DISEASE (CARDIOLOGY),28445
PRACTITIONER - OCCUPATIONAL THERAPIST IN PRIVATE PRACTICE,26490
PRACTITIONER - OPHTHALMOLOGY,23934
PRACTITIONER - GASTROENTEROLOGY,20951
PRACTITIONER - PODIATRY,19662
PRACTITIONER - PATHOLOGY,18442
PRACTITIONER - DERMATOLOGY,16760
PRACTITIONER - QUALIFIED SPEECH LANGUAGE PATHOLOGIST,15484
ORDER AND REFERRING ONLY - FAMILY PRACTICE,15077
PRACTITIONER - MARRIAGE AND FAMILY THERAPIST,15002
PRACTITIONER - PULMONARY DISEASE,14951
PART A PROVIDER - SKILLED NURSING FACILITY,14426
PRACTITIONER - UROLOGY,14004
PRACTITIONER - HEMATOLOGY/ONCOLOGY,13538
PRACTITIONER - OTOLARYNGOLOGY,13272
PRACTITIONER - REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL,13183
PRACTITIONER - NEPHROLOGY,13032
PRACTITIONER - PHYSICAL MEDICINE AND REHABILITATION,12671
PRACTITIONER - QUALIFIED AUDIOLOGIST,12656
ORDER AND REFERRING ONLY - ORAL SURGERY,11849
PART A PROVIDER - HOME HEALTH AGENCY,11506
PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),11069
ORDER AND REFERRING ONLY - PEDIATRIC MEDICINE,11041
ORDER AND REFERRING ONLY - NURSE PRACTITIONER,10728
PRACTITIONER - CERTIFIED NURSE MIDWIFE (CNM),10622
