state,provider_type,enrolled_count
AK,PART B SUPPLIER - CLINIC/GROUP PRACTICE,789
AK,PRACTITIONER - NURSE PRACTITIONER,761
AK,PRACTITIONER - PHYSICAL THERAPIST IN PRIVATE PRACTICE,654
AK,PRACTITIONER - PHYSICIAN ASSISTANT,584
AK,PRACTITIONER - FAMILY PRACTICE,404
AK,PRACTITIONER - EMERGENCY MEDICINE,241
AK,PRACTITIONER - CLINICAL SOCIAL WORKER,217
AK,PRACTITIONER - CHIROPRACTIC,205
AK,PRACTITIONER - MENTAL HEALTH COUNSELOR,180
AK,PRACTITIONER - CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),176
AK,PRACTITIONER - DIAGNOSTIC RADIOLOGY,157
AK,PRACTITIONER - OPTOMETRY,153
AK,PRACTITIONER - ANESTHESIOLOGY,151
AK,PRACTITIONER - INTERNAL MEDICINE,135
AK,PRACTITIONER - PSYCHIATRY,117
AK,PRACTITIONER - OBSTETRICS/GYNECOLOGY,115
AK,PRACTITIONER - OCCUPATIONAL THERAPIST IN PRIVATE PRACTICE,105
AK,PRACTITIONER - GENERAL SURGERY,87
AK,PRACTITIONER - ORTHOPEDIC SURGERY,86
AK,PRACTITIONER - PEDIATRIC MEDICINE,79
AK,PRACTITIONER - HOSPITALIST,78
AK,ORDER AND REFERRING ONLY - DENTIST,63
AK,DME SUPPLIER - PHARMACY,62
AK,PRACTITIONER - CLINICAL PSYCHOLOGIST,54
AK,PART B SUPPLIER - AMBULANCE SERVICE SUPPLIER,48
AK,ORDER AND REFERRING ONLY - FAMILY PRACTICE,48
AK,PRACTITIONER - NEUROLOGY,46
AK,PRACTITIONER - PATHOLOGY,46
AK,PRACTITIONER - QUALIFIED SPEECH LANGUAGE PATHOLOGIST,44
AK,PRACTITIONER - OPHTHALMOLOGY,42
AK,PRACTITIONER - CARDIOVASCULAR DISEASE (CARDIOLOGY),41
AK,PRACTITIONER - QUALIFIED AUDIOLOGIST,39
AK,PRACTITIONER - CERTIFIED NURSE MIDWIFE (CNM),38
AK,PART B SUPPLIER - PHYSICAL/OCCUPATIONAL THERAPY GROUP IN PRIVATE PRACTICE,37
AK,PRACTITIONER - REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL,31
AK,PRACTITIONER - GASTROENTEROLOGY,28
AK,PRACTITIONER - PHYSICAL MEDICINE AND REHABILITATION,27
AK,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,26
AK,PRACTITIONER - PODIATRY,26
AK,ORDER AND REFERRING ONLY - NURSE PRACTITIONER,26
AK,PRACTITIONER - OTOLARYNGOLOGY,26
AK,PRACTITIONER - DERMATOLOGY,24
AK,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),23
AK,PRACTITIONER - HEMATOLOGY/ONCOLOGY,20
AK,PRACTITIONER - INTERVENTIONAL CARDIOLOGY,19
AK,PRACTITIONER - UROLOGY,19
AK,ORDER AND REFERRING ONLY - PEDIATRIC MEDICINE,18
AK,PART B SUPPLIER - AMBULATORY SURGICAL CENTER,18
AK,DME SUPPLIER - PHYSICIAN - ORTHOPEDIC/ORTHOPEDIC SURGERY,16
AK,PRACTITIONER - CRITICAL CARE (INTENSIVISTS),16
AK,PRACTITIONER - NEPHROLOGY,16
AK,PRACTITIONER - RADIATION ONCOLOGY,16
AK,PART A PROVIDER - SKILLED NURSING FACILITY,16
AK,PRACTITIONER - GENERAL PRACTICE,16
AK,PART B SUPPLIER - MASS IMMUNIZATION (ROSTER BILLER ONLY),16
AK,PRACTITIONER - NEUROSURGERY,15
AK,ORDER AND REFERRING ONLY - CLINICAL SOCIAL WORKER,15
AK,PART A PROVIDER - HOSPITAL,14
AK,PART B SUPPLIER - INDEPENDENT DIAGNOSTIC TESTING FACILITY (IDTF),14
AK,PRACTITIONER - PULMONARY DISEASE,14
AK,DME SUPPLIER - MEDICAL SUPPLY COMPANY,13
AK,PART A PROVIDER - HOME HEALTH AGENCY,13
AK,PRACTITIONER - VASCULAR SURGERY,13
AK,ORDER AND REFERRING ONLY - CLINICAL PSYCHOLOGIST,12
AK,PRACTITIONER - OSTEOPATHIC MANIPULATIVE MEDICINE,12
AK,PRACTITIONER - HOSPICE/PALLIATIVE CARE,11
AK,PART B SUPPLIER - INDEPENDENT CLINICAL LABORATORY,11
AK,ORDER AND REFERRING ONLY - ORAL SURGERY,11
AK,PRACTITIONER - ALLERGY/IMMUNOLOGY,10
AK,ORDER AND REFERRING ONLY - INTERNAL MEDICINE,9
AK,PRACTITIONER - MARRIAGE AND FAMILY THERAPIST,9
AK,PRACTITIONER - PLASTIC AND RECONSTRUCTIVE SURGERY,9
AK,PRACTITIONER - INTERVENTIONAL RADIOLOGY,9
AK,PRACTITIONER - ADDICTION MEDICINE,9
AK,PRACTITIONER - INFECTIOUS DISEASE,8
AK,PRACTITIONER - MEDICAL ONCOLOGY,8
AK,PART A PROVIDER - END-STAGE RENAL DISEASE FACILITY (ESRD),7
AK,PRACTITIONER - ORAL SURGERY,7
AK,PART B SUPPLIER - PHARMACY,7
AK,ORDER AND REFERRING ONLY - PHYSICIAN ASSISTANT,7
AK,PRACTITIONER - PAIN MANAGEMENT,7
AK,ORDER AND REFERRING ONLY - OTHER (NON-PHYSICIAN),6
AK,PRACTITIONER - THORACIC SURGERY,6
AK,PRACTITIONER - RHEUMATOLOGY,6
AK,PART A PROVIDER - HOSPICE,6
AK,PRACTITIONER - ENDOCRINOLOGY,6
AK,PRACTITIONER - CARDIAC ELECTROPHYSIOLOGY,5
AK,PRACTITIONER - INTERVENTIONAL PAIN MANAGEMENT,4
