npi,org_name,city,state,search_state,primary_taxonomy,category
1063490407,AIR EVAC EMS INC,Keokuk,IA,IA,"Ambulance, Air Transport",air
1073104691,"AIR EVAC EMS, INC.",Clarinda,IA,IA,"Ambulance, Air Transport",air
1871180273,"APOLLO MEDFLIGHT, LLC",Atlantic,IA,IA,"Ambulance, Air Transport",air
1033532718,CATHOLIC HEALTH INITIATIVES-IOWA CORP,Knoxville,IA,IA,"Ambulance, Air Transport",air
1497962468,CENTRAL IOWA HEALTH SYSTEM,Des Moines,IA,IA,"Ambulance, Air Transport",air
1376846972,MED-TRANS CORPORATION,Sioux City,IA,IA,"Ambulance, Air Transport",air
1669931382,MED-TRANS CORPORATION,Cedar Rapids,IA,IA,"Ambulance, Air Transport",air
1730482332,MED-TRANS CORPORATION,Mason City,IA,IA,"Ambulance, Air Transport",air
1851571855,MERCY MEDICAL CENTER NORTH IOWA,Mason City,IA,IA,"Ambulance, Air Transport",air
1891872552,QUAD CITY HELICOPTER EMERGENCY MEDICAL SERVICE,Colona,IL,IA,"Ambulance, Air Transport",air
1003394164,"ROCKY MOUNTAIN HOLDINGS, LLC",Clarida,IA,IA,"Ambulance, Air Transport",air
1437642071,"ROCKY MOUNTAIN HOLDINGS, LLC",Knoxville,IA,IA,"Ambulance, Air Transport",air
1376108506,"ROCKY MOUNTAIN HOLDINGS, LLC",Iowa City,IA,IA,"Ambulance, Air Transport",air
1922671619,"ROCKY MOUNTAIN HOLDINGS, LLC",Fort Dodge,IA,IA,"Ambulance, Air Transport",air
1952799769,"ROCKY MOUNTAIN HOLDINGS, LLC",Iowa City,IA,IA,"Ambulance, Air Transport",air
1740890102,"ROCKY MOUNTAIN HOLDINGS, LLC",Sioux City,IA,IA,"Ambulance, Air Transport",air
1043028921,"ROCKY MOUNTAIN HOLDINGS, LLC",Davenport,IA,IA,"Ambulance, Air Transport",air
1306397401,"ROCKY MOUNTAIN HOLDINGS, LLC",Dubuque,IA,IA,"Ambulance, Air Transport",air
1598411076,"ROCKY MOUNTAIN HOLDINGS, LLC",Audubon,IA,IA,"Ambulance, Air Transport",air
1295501989,"ROCKY MOUNTAIN HOLDINGS, LLC",Des Moines,IA,IA,"Ambulance, Air Transport",air
1063896074,"ROCKY MOUNTAIN HOLDINGS, LLC",Des Moines,IA,IA,"Ambulance, Air Transport",air
1871429423,"ROCKY MOUNTAIN HOLDINGS, LLC",Clinton,IA,IA,"Ambulance, Air Transport",air
1659417764,BELMOND COMMUNITY HOSPITAL,Belmond,IA,IA,Ambulance,hospital-owned
1790855914,BOONE COUNTY HOSPITAL AMBULANCE,Boone,IA,IA,Ambulance,hospital-owned
1922164227,BUENA VISTA REGIONAL MEDICAL CENTER,Storm Lake,IA,IA,Ambulance,hospital-owned
1225451909,"CATHOLIC HEALTH INITIATIVES, IOWA CORP",Centerville,IA,IA,"Ambulance, Land Transport",hospital-owned
1053539932,CATHOLIC HEALTH INITIATIVES-IOWA CORP.,Des Moines,IA,IA,Ambulance,hospital-owned
1710048269,CENTRAL COMMUNITY HOSPITAL,Elkader,IA,IA,Ambulance,hospital-owned
1033201793,CENTRAL IOWA HOSPITAL CORPORATION,Des Moines,IA,IA,Psychiatric Unit,hospital-owned
1356433049,CENTRAL IOWA HOSPITAL CORPORATION,Des Moines,IA,IA,General Acute Care Hospital,hospital-owned
1598905762,CENTRAL IOWA HOSPITAL CORPORATION,West Des Moines,IA,IA,General Acute Care Hospital,hospital-owned
1396837951,CENTRAL IOWA HOSPITAL CORPORATION,Des Moines,IA,IA,General Acute Care Hospital,hospital-owned
1003908666,CENTRAL IOWA HOSPITAL CORPORATION,Des Moines,IA,IA,Rehabilitation Unit,hospital-owned
1093754962,CLARINDA REGIONAL HEALTH CENTER AMBULANCE,Clarinda,IA,IA,Ambulance,hospital-owned
1700827896,COVENANT MEDICAL CENTER INC,Waterloo,IA,IA,General Acute Care Hospital,hospital-owned
1588780985,COVENANT MEDICAL CENTER INC,Waterloo,IA,IA,Ambulance,hospital-owned
1649240201,CRAWFORD COUNTY MEMORIAL HOSPITAL,Denison,IA,IA,"Ambulance, Land Transport",hospital-owned
1043427610,DECATUR COUNTY HOSPITAL,Leon,IA,IA,Ambulance,hospital-owned
1235208422,DELAWARE COUNTY MEMORIAL HOSPITAL,Manchester,IA,IA,"Ambulance, Land Transport",hospital-owned
1720162019,FRANKLIN GENERAL HOSPITAL,Hampton,IA,IA,Ambulance,hospital-owned
1457596199,GENESIS HEALTH SYSTEM,Davenport,IA,IA,Ambulance,hospital-owned
1649368523,GENESIS HEALTH SYSTEM,De Witt,IA,IA,"General Acute Care Hospital, Critical Access",hospital-owned
1972542264,GENESIS HEALTH SYSTEM,Davenport,IA,IA,General Acute Care Hospital,hospital-owned
1932139359,GUTTENBERG MUNICIPAL HOSPITAL,Guttenberg,IA,IA,"General Acute Care Hospital, Critical Access",hospital-owned
1083767321,HAMILTON COUNTY PUBLIC HOSPITAL,Webster City,IA,IA,"Ambulance, Land Transport",hospital-owned
1770640708,HENRY COUNTY SOLDIERS' AND SAILORS' MEMORIAL HOSPITAL,Mount Pleasant,IA,IA,"Ambulance, Land Transport",hospital-owned
