code,code_type,site_signal,strength,description,source
96360,CPT,in_clinic,0.6,IV hydration initial 31min-1hr,CMS HCPCS/CPT (administration)
96361,CPT,in_clinic,0.6,IV hydration each additional hour,CMS HCPCS/CPT (administration)
96365,CPT,in_clinic,0.6,IV infusion therapeutic/diagnostic initial up to 1hr,CMS HCPCS/CPT (administration)
96366,CPT,in_clinic,0.6,IV infusion each additional hour,CMS HCPCS/CPT (administration)
96367,CPT,in_clinic,0.6,IV infusion additional sequential up to 1hr,CMS HCPCS/CPT (administration)
96368,CPT,in_clinic,0.6,IV infusion concurrent,CMS HCPCS/CPT (administration)
96369,CPT,in_clinic,0.6,SubQ infusion initial up to 1hr,CMS HCPCS/CPT (administration)
96370,CPT,in_clinic,0.6,SubQ infusion each additional hour,CMS HCPCS/CPT (administration)
96371,CPT,in_clinic,0.6,SubQ infusion additional pump site,CMS HCPCS/CPT (administration)
96372,CPT,in_clinic,0.5,Therapeutic/diagnostic injection SubQ/IM,CMS HCPCS/CPT (administration)
96373,CPT,in_clinic,0.5,Therapeutic/diagnostic injection intra-arterial,CMS HCPCS/CPT (administration)
96374,CPT,in_clinic,0.5,Therapeutic/diagnostic IV push single drug,CMS HCPCS/CPT (administration)
96375,CPT,in_clinic,0.5,IV push each additional sequential new drug,CMS HCPCS/CPT (administration)
96376,CPT,in_clinic,0.5,IV push each additional same drug (facility),CMS HCPCS/CPT (administration)
96377,CPT,in_clinic,0.5,Application on-body injector,CMS HCPCS/CPT (administration)
96401,CPT,in_clinic,0.7,Chemo administration SubQ/IM non-hormonal,CMS HCPCS/CPT (chemo administration)
96402,CPT,in_clinic,0.7,Chemo administration hormonal SubQ/IM,CMS HCPCS/CPT (chemo administration)
96409,CPT,in_clinic,0.7,Chemo IV push single substance,CMS HCPCS/CPT (chemo administration)
96411,CPT,in_clinic,0.7,Chemo IV push each additional substance,CMS HCPCS/CPT (chemo administration)
96413,CPT,in_clinic,0.7,Chemo IV infusion up to 1hr single drug,CMS HCPCS/CPT (chemo administration)
96415,CPT,in_clinic,0.7,Chemo IV infusion each additional hour,CMS HCPCS/CPT (chemo administration)
96416,CPT,in_clinic,0.7,Chemo prolonged IV infusion requiring pump,CMS HCPCS/CPT (chemo administration)
96417,CPT,in_clinic,0.7,Chemo IV infusion additional sequential,CMS HCPCS/CPT (chemo administration)
96521,CPT,in_clinic,0.5,Refilling/maintenance of portable pump,CMS HCPCS/CPT (administration)
96522,CPT,in_clinic,0.5,Refilling/maintenance implantable pump/reservoir,CMS HCPCS/CPT (administration)
96523,CPT,in_clinic,0.4,Irrigation implanted vascular access device,CMS HCPCS/CPT (administration)
96549,CPT,in_clinic,0.5,Unlisted chemotherapy procedure,CMS HCPCS/CPT (chemo administration)
99601,HCPCS,home,1.0,Home infusion/specialty drug administration per visit up to 2hr,CMS HCPCS (home infusion visit)
99602,HCPCS,home,1.0,Home infusion/specialty drug administration each additional hour,CMS HCPCS (home infusion visit)
G0068,HCPCS,home,1.0,Professional services for home infusion IV per 15min,CMS HCPCS (Part B home infusion benefit)
G0069,HCPCS,home,1.0,Professional services for home infusion SubQ per 15min,CMS HCPCS (Part B home infusion benefit)
G0070,HCPCS,home,1.0,Professional services for home infusion intermittent per 15min,CMS HCPCS (Part B home infusion benefit)
G0088,HCPCS,home,1.0,Professional services home infusion administration first visit,CMS HCPCS (home infusion)
G0089,HCPCS,home,1.0,Professional services home infusion SubQ first visit,CMS HCPCS (home infusion)
G0090,HCPCS,home,1.0,Professional services home infusion subsequent visit,CMS HCPCS (home infusion)
S9325,HCPCS,home,1.0,Home infusion therapy pain management per diem,CMS HCPCS (home infusion per diem)
S9326,HCPCS,home,1.0,Home infusion therapy continuous pain management per diem,CMS HCPCS (home infusion per diem)
S9327,HCPCS,home,1.0,Home infusion therapy intermittent pain management per diem,CMS HCPCS (home infusion per diem)
S9328,HCPCS,home,1.0,Home infusion therapy implanted pump pain management per diem,CMS HCPCS (home infusion per diem)
S9329,HCPCS,home,1.0,Home infusion therapy chemotherapy per diem,CMS HCPCS (home infusion per diem)
S9330,HCPCS,home,1.0,Home infusion therapy continuous chemotherapy per diem,CMS HCPCS (home infusion per diem)
S9331,HCPCS,home,1.0,Home infusion therapy intermittent chemotherapy per diem,CMS HCPCS (home infusion per diem)
S9338,HCPCS,home,1.0,Home infusion therapy immunotherapy per diem,CMS HCPCS (home infusion per diem)
S9345,HCPCS,home,1.0,Home infusion therapy anti-hemophilic factor per diem,CMS HCPCS (home infusion per diem)
S9346,HCPCS,home,1.0,Home infusion therapy alpha-1-proteinase inhibitor per diem,CMS HCPCS (home infusion per diem)
