hcpcs,drug,note,source
J1551,immune globulin SCIG (Cutaquig),Subcutaneous Ig — DMEPOS / external pump channel,Curated (PDAC-style starter)
J1555,immune globulin SCIG (Cuvitru),Subcutaneous Ig — DMEPOS channel,Curated (PDAC-style starter)
J1558,immune globulin SCIG (Xembify),Subcutaneous Ig — DMEPOS channel,Curated (PDAC-style starter)
J1559,immune globulin SCIG (Hizentra),Subcutaneous Ig — DMEPOS channel,Curated (PDAC-style starter)
J1561,immune globulin (Gamunex-C/Gammaked),Often home-infused via pump,Curated (PDAC-style starter)
J1575,immune globulin facilitated SC (HyQvia),Subcutaneous Ig w/ hyaluronidase — DMEPOS channel,Curated (PDAC-style starter)
J3285,treprostinil,SC/IV via external infusion pump — home channel,Curated (PDAC-style starter)
J7686,treprostinil inhalation,Inhalation drug — DME nebulizer channel,Curated (PDAC-style starter)
J7620,albuterol/ipratropium inhalation,Inhalation solution — DME nebulizer channel,Curated (PDAC-style starter)
J7626,budesonide inhalation,Inhalation solution — DME nebulizer channel,Curated (PDAC-style starter)
J7613,albuterol inhalation,Inhalation solution — DME nebulizer channel,Curated (PDAC-style starter)
J2274,morphine for infusion pump,Home/external infusion pump channel,Curated (PDAC-style starter)
J2260,milrinone,Home/external infusion pump (inotrope) channel,Curated (PDAC-style starter)
