hcpcs,single_dose,effective_note,source
J0121,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0122,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0135,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0172,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0174,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0177,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0178,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0179,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0202,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0207,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0208,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0218,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0219,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0221,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0222,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0223,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0224,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0257,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0280,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0283,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0289,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0291,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0360,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0401,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0456,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0457,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0475,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0476,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0480,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0485,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0490,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0491,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0500,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0515,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0517,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0561,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0565,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0583,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0584,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0585,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0586,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0587,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0588,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0592,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0594,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0595,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0596,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0597,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0598,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0599,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0600,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0612,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0613,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0638,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0641,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0642,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0689,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0690,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0692,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0695,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0699,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0712,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
