hcpcs,service,mue_value,mai,rationale,effective_date,source
0001U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0002M,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0002U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0003M,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0003U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0004M,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0005U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0006M,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0007M,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0007U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0008U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0009U,practitioner,2,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0010U,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0011M,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0011U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0012M,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0013M,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0015M,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0016M,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0016U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0017M,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0017U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0018M,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0018U,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0019M,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0019U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0020M,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0021U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0022U,practitioner,2,3,Clinical: CMS Workgroup,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0023U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0024U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0025U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0026U,practitioner,2,3,Nature of Service/Procedure,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0027U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0030U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0032U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0034U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0035U,practitioner,1,2,Code Descriptor / CPT Instruction,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
0036U,practitioner,1,3,Nature of Analyte,2026-07-01,CMS NCCI MUE 2026 Q3 (public tables)
