col1,col2,modifier_indicator,service,effective_date,source
0002M,0468U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0003M,0468U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0005U,0495U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0005U,0512U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0005U,0513U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0011M,0512U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0011M,0513U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0012M,0452U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0013M,0452U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0019U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0019U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0021U,0512U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0021U,0513U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0022U,0478U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0036U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0036U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0037U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0037U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0047U,0512U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0047U,0513U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0048U,0486U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0048U,0491U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0048U,0492U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0048U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0048U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0055U,0493U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0070U,0476U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0070U,0477U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0070U,0516U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0080U,0478U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0082U,0518U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0087U,0493U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0088U,0493U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0092U,0478U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0101U,0460U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0101U,0461U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0101U,0496U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0101U,0498U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0108U,0506U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0111U,0499U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0111U,0501U,0,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0113U,0512U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0113U,0513U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0129U,0454U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0129U,0460U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0129U,0461U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0129U,0469U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0152U,0505U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0153U,0460U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0153U,0461U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0166U,0468U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0170U,0489U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0172U,0486U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0172U,0487U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0172U,0491U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0172U,0492U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0179U,0478U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0203U,0514U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0203U,0515U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
0206U,0459U,1,practitioner,2026-07-01,CMS NCCI PTP 2026 Q3 quarterly change files (public)
