alias,parent
BLUE CROSS BLUE SHIELD OF TEXAS,HCSC (BCBS TX/IL/NM/OK/MT)
BCBSTX,HCSC (BCBS TX/IL/NM/OK/MT)
BCBS TX,HCSC (BCBS TX/IL/NM/OK/MT)
BCBS OF TEXAS,HCSC (BCBS TX/IL/NM/OK/MT)
BLUE CROSS BLUE SHIELD OF ILLINOIS,HCSC (BCBS TX/IL/NM/OK/MT)
BCBSIL,HCSC (BCBS TX/IL/NM/OK/MT)
BLUE CROSS BLUE SHIELD OF NEW MEXICO,HCSC (BCBS TX/IL/NM/OK/MT)
BLUE CROSS BLUE SHIELD OF OKLAHOMA,HCSC (BCBS TX/IL/NM/OK/MT)
HCSC,HCSC (BCBS TX/IL/NM/OK/MT)
ANTHEM,Elevance Health
ELEVANCE,Elevance Health
EMPIRE BLUE CROSS,Elevance Health
WELLPOINT,Elevance Health
UNITEDHEALTHCARE,UnitedHealth Group
UNITED HEALTHCARE,UnitedHealth Group
UHC,UnitedHealth Group
UMR,UnitedHealth Group
OPTUM,UnitedHealth Group
OXFORD HEALTH,UnitedHealth Group
AETNA,CVS Health (Aetna)
SILVERSCRIPT,CVS Health (Aetna)
CIGNA,Cigna (Evernorth)
EVERNORTH,Cigna (Evernorth)
EXPRESS SCRIPTS,Cigna (Evernorth)
CENTENE,Centene
AMBETTER,Centene
WELLCARE,Centene
SUPERIOR HEALTHPLAN,Centene
FIDELIS,Centene
MAGNOLIA HEALTH,Centene
HUMANA MILITARY,TRICARE
TRIWEST,TRICARE
TRICARE,TRICARE
HUMANA,Humana
MOLINA,Molina Healthcare
KAISER,Kaiser Permanente
FLORIDA BLUE,GuideWell (Florida Blue)
HIGHMARK,Highmark
COMMUNITY HEALTH CHOICE,Community Health Choice
CHC TEXAS,Community Health Choice
