article_id,mac_id,mac_name,code_id,code_description,drug_brand_name,route_hint,effective_date,url
A52527,CGS,"CGS Administrators, LLC",J0129,"INJECTION, ABATACEPT, 10 MG (NOT FOR SELF-ADMINISTERED)","Abatacept (Orencia); IV use JA, SC use JB (SC self-administered)",IV_OR_SC,2026-06-14,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=52527&ver=90
A53066,PALMETTO,Palmetto GBA,J0129,"INJECTION, ABATACEPT, 10 MG (NOT FOR SELF-ADMINISTERED)","Abatacept, Orencia, subcutaneous use",IV_OR_SC,2026-06-01,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=53066&ver=97
A53021,NGS,"National Government Services, Inc.",J3590,UNCLASSIFIED BIOLOGICS,Abatacept (Orencia),NOC,2026-06-13,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=53021&ver=136
A53021,NGS,"National Government Services, Inc.",C9399,UNCLASSIFIED DRUGS OR BIOLOGICALS,Abatacept (Orencia),NOC,2026-06-13,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=53021&ver=136
A53032,NORIDIAN_JE,"Noridian Healthcare Solutions, LLC",J3590,UNCLASSIFIED BIOLOGICS,Abatacept (Orencia),NOC,2026-06-13,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=53032&ver=143
A53033,NORIDIAN_JF,"Noridian Healthcare Solutions, LLC",J3590,UNCLASSIFIED BIOLOGICS,Abatacept (Orencia),NOC,2026-06-13,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=53033&ver=139
A53032,NORIDIAN_JE,"Noridian Healthcare Solutions, LLC",J0139,"INJECTION, ADALIMUMAB, 1 MG",Adalimumab,SC,2026-06-13,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=53032&ver=143
A53033,NORIDIAN_JF,"Noridian Healthcare Solutions, LLC",J0139,"INJECTION, ADALIMUMAB, 1 MG",Adalimumab,SC,2026-06-13,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=53033&ver=139
A52800,WPS,WPS Insurance Corporation,C9399,UNCLASSIFIED DRUGS OR BIOLOGICALS,"Adalimumab biosimilars (Idacio, Abrilada, Hadlima, Hulio, Hyrimoz, Yusimry)",NOC,2026-06-14,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=52800&ver=96
A53021,NGS,"National Government Services, Inc.",C9399,UNCLASSIFIED DRUGS OR BIOLOGICALS,Adalimumab-aaty (Yuflyma),NOC,2026-06-13,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=53021&ver=136
A53021,NGS,"National Government Services, Inc.",C9399,UNCLASSIFIED DRUGS OR BIOLOGICALS,Adalimumab-adbm (Cyltezo),NOC,2026-06-13,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=53021&ver=136
A53032,NORIDIAN_JE,"Noridian Healthcare Solutions, LLC",C9399,UNCLASSIFIED DRUGS OR BIOLOGICALS,Adalimumab-adaz (Hyrimoz),NOC,2026-06-13,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=53032&ver=143
A52527,CGS,"CGS Administrators, LLC",J3590,UNCLASSIFIED BIOLOGICS,Adalimumab-adbm (Cyltezo),NOC,2026-06-14,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=52527&ver=90
