brand_keyword,generic,source,dual_channel,partb_iv_code
stelara,ustekinumab subcutaneous,CMS Coverage DB,1,J3358
humira,adalimumab,CMS Coverage DB,0,
amjevita,adalimumab-atto,CMS Coverage DB,0,
cyltezo,adalimumab-adbm,CMS Coverage DB,0,
hyrimoz,adalimumab-adaz,CMS Coverage DB,0,
hadlima,adalimumab-bwwd,CMS Coverage DB,0,
idacio,adalimumab-aacf,CMS Coverage DB,0,
abrilada,adalimumab-afzb,CMS Coverage DB,0,
hulio,adalimumab-fkjp,CMS Coverage DB,0,
yusimry,adalimumab-aqvh,CMS Coverage DB,0,
yuflyma,adalimumab-aaty,CMS Coverage DB,0,
enbrel,etanercept,CMS Coverage DB,0,
erelzi,etanercept-szzs,CMS Coverage DB,0,
cosentyx,secukinumab,CMS Coverage DB,0,
taltz,ixekizumab,CMS Coverage DB,0,
siliq,brodalumab,CMS Coverage DB,0,
skyrizi,risankizumab subcutaneous,CMS Coverage DB,0,
tremfya,guselkumab subcutaneous,CMS Coverage DB,0,
simponi,golimumab subcutaneous,CMS Coverage DB,1,J1602
kineret,anakinra,CMS Coverage DB,0,
kevzara,sarilumab,CMS Coverage DB,0,
orencia,abatacept subcutaneous,CMS Coverage DB,0,
dupixent,dupilumab,CMS Coverage DB,0,
adbry,tralokinumab,CMS Coverage DB,0,
ebglyss,lebrikizumab,CMS Coverage DB,0,
nemluvio,nemolizumab,CMS Coverage DB,0,
tezspire,tezepelumab,CMS Coverage DB,0,
kesimpta,ofatumumab,CMS Coverage DB,0,
entyvio,vedolizumab subcutaneous,CMS Coverage DB,1,J3380
omvoh,mirikizumab subcutaneous,CMS Coverage DB,0,
aimovig,erenumab,CMS Coverage DB,0,
emgality,galcanezumab,CMS Coverage DB,0,
praluent,alirocumab,CMS Coverage DB,0,
repatha,evolocumab,CMS Coverage DB,0,
ozempic,semaglutide,CMS Coverage DB,0,
wegovy,semaglutide,CMS Coverage DB,0,
mounjaro,tirzepatide,CMS Coverage DB,0,
zepbound,tirzepatide,CMS Coverage DB,0,
trulicity,dulaglutide,CMS Coverage DB,0,
victoza,liraglutide,CMS Coverage DB,0,
saxenda,liraglutide,CMS Coverage DB,0,
byetta,exenatide,CMS Coverage DB,0,
bydureon,exenatide xr,CMS Coverage DB,0,
rebif,interferon beta-1a,CMS Coverage DB,0,
plegridy,peginterferon beta-1a,CMS Coverage DB,0,
pegasys,peginterferon alfa-2a,CMS Coverage DB,0,
pegintron,peginterferon alfa-2b,CMS Coverage DB,0,
besremi,ropeginterferon alfa-2b,CMS Coverage DB,0,
otrexup,methotrexate sc,CMS Coverage DB,0,
rasuvo,methotrexate sc,CMS Coverage DB,0,
strensiq,asfotase alfa,CMS Coverage DB,0,
myalept,metreleptin,CMS Coverage DB,0,
somavert,pegvisomant,CMS Coverage DB,0,
sogroya,somapacitan,CMS Coverage DB,0,
signifor,pasireotide,CMS Coverage DB,0,
firazyr,icatibant,CMS Coverage DB,0,
relistor,methylnaltrexone subcutaneous,CMS Coverage DB,0,
steqeyma,ustekinumab-stba,CMS Coverage DB,0,
wezlana,ustekinumab-auub,CMS Coverage DB,0,
tanzeum,albiglutide,CMS Coverage DB,0,
tymlos,abaloparatide,CMS Coverage DB,0,
natpara,parathyroid hormone,CMS Coverage DB,0,
symlin,pramlintide,CMS Coverage DB,0,
cimzia,certolizumab pegol,CMS Coverage DB,0,
ajovy,fremanezumab,CMS Coverage DB,0,
nurtec,rimegepant,CMS Coverage DB,0,
